238,"SELECT dbo.fInFootprintEq( #, #, # )"
2019-02-20 06:00:00,5
2019-02-20 06:01:00,7
2019-02-20 06:02:00,8
2019-02-20 06:03:00,7
2019-02-20 06:04:00,7
2019-02-20 06:05:00,7
2019-02-20 06:06:00,8
2019-02-20 06:07:00,14
2019-02-20 06:08:00,15
2019-02-20 06:09:00,14
2019-02-20 06:10:00,15
2019-02-20 06:11:00,13
2019-02-20 06:12:00,8
2019-02-20 06:13:00,11
2019-02-20 06:14:00,14
2019-02-20 06:15:00,14
2019-02-20 06:16:00,15
2019-02-20 06:17:00,14
2019-02-20 06:18:00,15
2019-02-20 06:19:00,15
2019-02-20 06:20:00,12
