14,"select mjd, ra, dec, u, g, r, i, z from PhotoObj where dec < # AND dec > # AND (ra > # AND ra < # )"
2019-11-18 03:54:00,3
2019-11-18 03:55:00,4
2019-11-18 03:56:00,3
2019-11-18 03:57:00,3
2019-11-18 03:58:00,1
