437,"select top # p.objid,p.ra,p.dec,dbo.fPhotoTypeN(p.type) as type,u,g,r,i,z,Err_u,Err_g,Err_r,Err_i,Err_z,psfMag_u,psfMagErr_u,psfMag_g,psfMagErr_g,psfMag_r,psfMagErr_r,psfMag_i,psfMagErr_i,psfMag_z,psfMagErr_z  from PhotoPrimary p, dbo.fGetNearbyObjEq(#,#,#) n  where p.objId=n.objId"
2019-11-18 00:26:00,9
2019-11-18 00:32:00,21
2019-11-18 00:33:00,42
2019-11-18 00:46:00,1
2019-11-18 01:45:00,1
2019-11-18 02:45:00,1
2019-11-18 03:45:00,1
2019-11-18 04:45:00,1
2019-11-18 05:45:00,1
2019-11-18 06:27:00,6
2019-11-18 06:28:00,3
2019-11-18 06:45:00,1
2019-11-18 07:26:00,40
2019-11-18 07:27:00,30
2019-11-18 07:31:00,30
2019-11-18 07:33:00,30
2019-11-18 07:36:00,51
2019-11-18 07:37:00,39
2019-11-18 07:38:00,9
2019-11-18 07:39:00,21
2019-11-18 07:45:00,1
2019-11-18 08:45:00,1
2019-11-18 09:45:00,1
2019-11-18 10:45:00,1
2019-11-18 11:45:00,1
2019-11-18 11:54:00,1
2019-11-18 12:10:00,1
2019-11-18 12:11:00,1
2019-11-18 12:12:00,1
2019-11-18 12:18:00,1
2019-11-18 12:20:00,1
2019-11-18 12:22:00,1
2019-11-18 12:36:00,2
2019-11-18 12:45:00,1
2019-11-18 13:45:00,1
2019-11-18 13:48:00,1
2019-11-18 13:51:00,1
2019-11-18 14:00:00,9
2019-11-18 14:45:00,1
2019-11-18 14:52:00,8
2019-11-18 14:53:00,6
2019-11-18 15:01:00,1
2019-11-18 15:02:00,13
2019-11-18 15:03:00,21
2019-11-18 15:26:00,9
2019-11-18 15:45:00,1
2019-11-18 16:45:00,1
2019-11-18 17:36:00,9
2019-11-18 17:45:00,1
2019-11-18 18:45:00,1
