3293,select * from sqllogall2#_#_#h_to_#_#h where mm = # and dd = # and hh = #
2019-11-18 10:07:00,6
2019-11-18 10:08:00,34
2019-11-18 10:09:00,33
2019-11-18 10:10:00,32
2019-11-18 10:11:00,31
2019-11-18 10:12:00,29
2019-11-18 10:13:00,28
2019-11-18 10:14:00,26
2019-11-18 10:15:00,25
2019-11-18 10:16:00,24
2019-11-18 10:17:00,22
2019-11-18 10:18:00,23
2019-11-18 10:19:00,22
2019-11-18 10:20:00,21
2019-11-18 10:21:00,20
2019-11-18 10:22:00,21
2019-11-18 10:23:00,20
2019-11-18 10:24:00,19
2019-11-18 10:25:00,19
2019-11-18 10:26:00,18
2019-11-18 10:27:00,18
2019-11-18 10:28:00,18
2019-11-18 10:29:00,16
2019-11-18 10:30:00,17
2019-11-18 10:31:00,15
2019-11-18 10:32:00,16
2019-11-18 10:33:00,16
2019-11-18 10:34:00,16
2019-11-18 10:35:00,16
2019-11-18 10:36:00,15
2019-11-18 10:37:00,15
2019-11-18 10:38:00,15
2019-11-18 10:39:00,14
2019-11-18 10:40:00,14
2019-11-18 10:41:00,13
2019-11-18 10:42:00,14
2019-11-18 10:43:00,13
2019-11-18 10:44:00,10
2019-11-18 10:48:00,17
2019-11-18 10:49:00,29
2019-11-18 10:50:00,28
2019-11-18 10:51:00,27
2019-11-18 10:52:00,27
2019-11-18 10:53:00,26
2019-11-18 10:54:00,25
2019-11-18 10:55:00,24
2019-11-18 10:56:00,21
2019-11-18 10:57:00,21
2019-11-18 10:58:00,20
2019-11-18 10:59:00,19
2019-11-18 11:00:00,10
2019-11-18 11:01:00,16
2019-11-18 11:02:00,16
2019-11-18 11:03:00,16
2019-11-18 11:04:00,16
2019-11-18 11:05:00,2
2019-11-18 11:18:00,31
2019-11-18 11:19:00,28
2019-11-18 11:20:00,23
2019-11-18 11:21:00,20
2019-11-18 11:22:00,19
2019-11-18 11:23:00,16
2019-11-18 11:24:00,15
2019-11-18 11:25:00,15
2019-11-18 11:26:00,14
2019-11-18 11:27:00,14
2019-11-18 11:28:00,13
2019-11-18 11:29:00,13
2019-11-18 11:30:00,13
2019-11-18 11:31:00,10
2019-11-18 11:32:00,11
2019-11-18 11:33:00,12
2019-11-18 11:34:00,11
2019-11-18 11:35:00,13
