2,"select s.specObjID,s.z,s.ra,s.dec,g.oiii_#_flux,g.oiii_#_flux_err,g.nii_#_flux,g.nii_#_flux_err,g.h_beta_flux,g.h_beta_flux_err,g.h_alpha_flux,g.h_alpha_flux_err  into mydb.ml_test from galSpecInfo as s, galSpecLine as g where   g.specObjID=s.specObjID and s.z>=# and s.z<=#"
2019-11-18 06:48:00,1
2019-11-18 06:51:00,1
