203,"SELECT p.ra , p.dec, p.u, p.g, p.r, p.i, p.z, p.err_u, p.err_g, p.err_r, p.err_i, p.err_z, p.nMgyPerCount_u, p.nMgyPerCount_g, p.nMgyPerCount_r, p.nMgyPerCount_i, p.nMgyPerCount_z FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = #"
2019-11-18 13:23:00,10
2019-11-18 13:25:00,4
2019-11-18 13:26:00,6
2019-11-18 13:27:00,10
2019-11-18 13:30:00,10
2019-11-18 13:32:00,10
2019-11-18 13:37:00,7
2019-11-18 13:38:00,3
2019-11-18 13:39:00,10
2019-11-18 13:41:00,10
2019-11-18 13:43:00,10
2019-11-18 13:45:00,4
2019-11-18 13:46:00,6
2019-11-18 13:47:00,3
2019-11-18 13:48:00,7
2019-11-18 13:49:00,3
2019-11-18 15:18:00,2
2019-11-18 15:19:00,8
2019-11-18 15:20:00,10
2019-11-18 15:22:00,5
2019-11-18 15:23:00,5
2019-11-18 15:24:00,7
2019-11-18 15:25:00,3
2019-11-18 15:31:00,3
2019-11-18 15:32:00,7
2019-11-18 15:42:00,10
2019-11-18 15:43:00,6
2019-11-18 15:44:00,4
2019-11-18 15:45:00,2
2019-11-18 15:46:00,8
2019-11-18 15:47:00,2
2019-11-18 15:48:00,8
