36,"SELECT p.objId, p.ra,p.dec,p.petror9#_r, p.expAB_r,     p.dered_u as u, p.dered_g as g, p.dered_r as r, p.dered_i as i,      s.z, s.plate, s.mjd, s.fiberid, n.sersic_n FROM galaxy AS p    JOIN SpecObj AS s ON s.bestobjid = p.objid    JOIN nsatlas AS n ON n.mjd = s.mjd and n.fiberID = s.fiberID and n.plate = s.plate WHERE p.petror9#_r > #   and p.ra between # and #   and s.z between # and #   and p.g < #"
2019-11-18 06:15:00,1
2019-11-18 06:30:00,1
2019-11-18 06:37:00,1
2019-11-18 08:38:00,1
2019-11-18 11:05:00,1
2019-11-18 11:10:00,1
2019-11-18 11:22:00,1
2019-11-18 11:28:00,1
2019-11-18 11:29:00,1
2019-11-18 11:32:00,1
2019-11-18 11:34:00,1
2019-11-18 11:37:00,1
2019-11-18 11:42:00,1
2019-11-18 11:46:00,1
2019-11-18 11:47:00,1
2019-11-18 11:49:00,1
2019-11-18 11:51:00,2
2019-11-18 11:52:00,1
2019-11-18 11:55:00,3
2019-11-18 11:56:00,1
2019-11-18 12:00:00,3
2019-11-18 12:06:00,1
2019-11-18 12:07:00,1
2019-11-18 12:11:00,2
2019-11-18 12:14:00,2
2019-11-18 12:17:00,1
2019-11-18 12:18:00,1
2019-11-18 12:21:00,1
2019-11-18 12:57:00,1
