23,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-11-18 07:01:00,5
2019-11-18 08:10:00,1
2019-11-18 09:41:00,1
2019-11-18 11:11:00,1
2019-11-18 12:20:00,1
2019-11-18 12:30:00,1
2019-11-18 12:32:00,1
2019-11-18 12:37:00,1
2019-11-18 12:40:00,1
2019-11-18 12:53:00,1
2019-11-18 12:55:00,1
2019-11-18 13:10:00,1
2019-11-18 15:40:00,1
2019-11-18 15:43:00,2
2019-11-18 18:07:00,1
2019-11-18 18:42:00,1
2019-11-18 19:06:00,1
2019-11-18 19:40:00,1
