18,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-11-18 00:38:00,1
2019-11-18 00:39:00,2
2019-11-18 00:53:00,1
2019-11-18 01:05:00,1
2019-11-18 01:08:00,1
2019-11-18 01:09:00,2
2019-11-18 01:10:00,1
2019-11-18 01:12:00,1
2019-11-18 01:13:00,2
2019-11-18 01:15:00,1
2019-11-18 01:26:00,1
2019-11-18 01:32:00,1
2019-11-18 01:36:00,1
2019-11-18 03:05:00,1
2019-11-18 03:26:00,1
