28,"SELECT DISTINCT TOP # p.run, p.rerun, p.camcol, max(p.field) as &&&, max(p.ra) as &&&, max(p.dec) as &&& FROM PhotoObj p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) GROUP BY p.run, p.rerun, p.camcol"
2019-11-18 13:22:00,3
2019-11-18 13:25:00,2
2019-11-18 13:27:00,1
2019-11-18 13:29:00,1
2019-11-18 13:31:00,1
2019-11-18 13:37:00,2
2019-11-18 13:39:00,1
2019-11-18 13:41:00,1
2019-11-18 13:43:00,1
2019-11-18 13:45:00,1
2019-11-18 13:47:00,1
2019-11-18 13:49:00,1
2019-11-18 15:18:00,2
2019-11-18 15:20:00,1
2019-11-18 15:22:00,1
2019-11-18 15:24:00,1
2019-11-18 15:30:00,2
2019-11-18 15:41:00,2
2019-11-18 15:43:00,1
2019-11-18 15:45:00,1
2019-11-18 15:47:00,1
