20,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-03-16 14:50:00,2
2019-03-16 14:52:00,2
2019-03-16 14:54:00,2
2019-03-16 14:55:00,2
2019-03-16 15:22:00,1
2019-03-16 15:23:00,1
2019-03-16 15:24:00,2
2019-03-16 15:25:00,2
2019-03-16 15:33:00,1
2019-03-16 15:34:00,1
2019-03-16 15:36:00,1
2019-03-16 15:37:00,2
2019-03-16 16:25:00,1
