319,select * from Photoz where objid=#
2019-03-16 00:20:00,1
2019-03-16 00:21:00,1
2019-03-16 00:37:00,1
2019-03-16 00:44:00,1
2019-03-16 01:03:00,1
2019-03-16 01:25:00,1
2019-03-16 01:58:00,1
2019-03-16 02:23:00,1
2019-03-16 02:26:00,1
2019-03-16 03:00:00,1
2019-03-16 03:02:00,1
2019-03-16 03:09:00,1
2019-03-16 03:16:00,1
2019-03-16 03:22:00,1
2019-03-16 03:57:00,1
2019-03-16 03:59:00,1
2019-03-16 04:53:00,1
2019-03-16 05:03:00,1
2019-03-16 05:05:00,2
2019-03-16 05:17:00,1
2019-03-16 05:27:00,1
2019-03-16 05:40:00,1
2019-03-16 05:49:00,1
2019-03-16 05:59:00,1
2019-03-16 06:29:00,1
2019-03-16 06:32:00,1
2019-03-16 06:33:00,1
2019-03-16 06:39:00,1
2019-03-16 07:11:00,2
2019-03-16 07:28:00,1
2019-03-16 07:40:00,1
2019-03-16 07:47:00,1
2019-03-16 08:31:00,1
2019-03-16 09:14:00,1
2019-03-16 09:15:00,1
2019-03-16 09:35:00,1
2019-03-16 09:48:00,1
2019-03-16 10:01:00,1
2019-03-16 10:03:00,1
2019-03-16 10:18:00,1
2019-03-16 10:35:00,1
2019-03-16 10:37:00,1
2019-03-16 10:40:00,1
2019-03-16 10:41:00,1
2019-03-16 10:43:00,1
2019-03-16 10:45:00,1
2019-03-16 10:51:00,1
2019-03-16 11:09:00,1
2019-03-16 12:01:00,1
2019-03-16 12:20:00,1
2019-03-16 12:43:00,2
2019-03-16 12:50:00,1
2019-03-16 12:53:00,1
2019-03-16 13:13:00,1
2019-03-16 13:24:00,1
2019-03-16 13:25:00,1
2019-03-16 13:47:00,1
2019-03-16 13:50:00,1
2019-03-16 13:52:00,1
2019-03-16 13:58:00,1
2019-03-16 13:59:00,1
2019-03-16 14:00:00,1
2019-03-16 14:01:00,2
2019-03-16 14:02:00,2
2019-03-16 14:03:00,1
2019-03-16 14:16:00,1
2019-03-16 14:52:00,1
2019-03-16 14:58:00,1
2019-03-16 15:02:00,13
2019-03-16 15:13:00,1
2019-03-16 15:19:00,1
2019-03-16 15:31:00,1
2019-03-16 15:39:00,2
2019-03-16 15:40:00,1
2019-03-16 15:41:00,2
2019-03-16 15:42:00,1
2019-03-16 15:44:00,1
2019-03-16 15:51:00,2
2019-03-16 15:52:00,1
2019-03-16 15:53:00,2
2019-03-16 15:54:00,2
2019-03-16 15:55:00,2
2019-03-16 15:56:00,1
2019-03-16 15:57:00,1
2019-03-16 15:58:00,1
2019-03-16 15:59:00,3
2019-03-16 16:00:00,1
2019-03-16 16:01:00,2
2019-03-16 16:02:00,2
2019-03-16 16:03:00,1
2019-03-16 16:04:00,2
2019-03-16 16:05:00,1
2019-03-16 16:06:00,2
2019-03-16 16:08:00,2
2019-03-16 16:09:00,2
2019-03-16 16:10:00,1
2019-03-16 16:18:00,2
2019-03-16 16:19:00,2
2019-03-16 16:20:00,2
2019-03-16 16:21:00,1
2019-03-16 16:22:00,1
2019-03-16 16:23:00,1
2019-03-16 16:24:00,3
2019-03-16 16:25:00,1
2019-03-16 16:26:00,1
2019-03-16 16:27:00,2
2019-03-16 16:28:00,2
2019-03-16 16:29:00,3
2019-03-16 16:30:00,2
2019-03-16 16:31:00,1
2019-03-16 16:32:00,2
2019-03-16 16:34:00,14
2019-03-16 16:35:00,6
2019-03-16 16:36:00,2
2019-03-16 16:38:00,3
2019-03-16 16:39:00,2
2019-03-16 16:40:00,2
2019-03-16 16:41:00,2
2019-03-16 16:43:00,2
2019-03-16 16:45:00,2
2019-03-16 16:46:00,2
2019-03-16 16:58:00,1
2019-03-16 17:01:00,1
2019-03-16 17:02:00,1
2019-03-16 17:05:00,1
2019-03-16 17:46:00,1
2019-03-16 17:52:00,1
2019-03-16 18:13:00,13
2019-03-16 18:14:00,35
2019-03-16 18:15:00,30
2019-03-16 18:38:00,1
2019-03-16 18:54:00,1
2019-03-16 19:00:00,1
2019-03-16 19:24:00,1
2019-03-16 19:32:00,1
2019-03-16 19:36:00,1
2019-03-16 19:56:00,1
2019-03-16 20:00:00,1
2019-03-16 20:09:00,1
2019-03-16 20:17:00,1
2019-03-16 20:36:00,2
2019-03-16 21:09:00,1
2019-03-16 21:21:00,1
2019-03-16 21:43:00,1
2019-03-16 21:48:00,1
2019-03-16 22:01:00,12
2019-03-16 22:02:00,2
2019-03-16 22:38:00,1
2019-03-16 22:46:00,1
2019-03-16 23:17:00,1
2019-03-16 23:21:00,1
2019-03-16 23:32:00,2
2019-03-16 23:41:00,6
2019-03-16 23:52:00,2
2019-03-16 23:53:00,1
