2735,"SELECT aa_i,kk_i,airmass_i,gain_i,sky_i,skysig_i FROM Field where run=# AND rerun=# AND camcol=# AND field=#"
2019-03-16 00:00:00,5
2019-03-16 00:01:00,5
2019-03-16 00:02:00,5
2019-03-16 00:03:00,4
2019-03-16 00:04:00,5
2019-03-16 00:05:00,5
2019-03-16 00:06:00,5
2019-03-16 00:07:00,5
2019-03-16 00:08:00,4
2019-03-16 00:09:00,5
2019-03-16 00:10:00,5
2019-03-16 00:11:00,5
2019-03-16 00:12:00,5
2019-03-16 00:13:00,5
2019-03-16 00:14:00,5
2019-03-16 00:15:00,5
2019-03-16 00:16:00,4
2019-03-16 00:17:00,5
2019-03-16 00:18:00,5
2019-03-16 00:19:00,5
2019-03-16 00:20:00,5
2019-03-16 00:21:00,4
2019-03-16 00:22:00,5
2019-03-16 00:23:00,5
2019-03-16 00:24:00,4
2019-03-16 00:29:00,1
2019-03-16 00:30:00,5
2019-03-16 00:31:00,5
2019-03-16 00:32:00,5
2019-03-16 00:33:00,5
2019-03-16 00:34:00,4
2019-03-16 00:35:00,5
2019-03-16 00:36:00,5
2019-03-16 00:37:00,5
2019-03-16 00:38:00,5
2019-03-16 00:39:00,5
2019-03-16 00:40:00,5
2019-03-16 00:41:00,4
2019-03-16 00:42:00,5
2019-03-16 00:43:00,5
2019-03-16 00:44:00,5
2019-03-16 00:45:00,4
2019-03-16 00:46:00,5
2019-03-16 00:47:00,5
2019-03-16 00:48:00,5
2019-03-16 00:49:00,5
2019-03-16 00:50:00,4
2019-03-16 00:51:00,5
2019-03-16 00:52:00,5
2019-03-16 00:53:00,5
2019-03-16 00:54:00,5
2019-03-16 00:55:00,4
2019-03-16 00:56:00,5
2019-03-16 00:57:00,5
2019-03-16 00:58:00,5
2019-03-16 00:59:00,4
2019-03-16 01:00:00,5
2019-03-16 01:01:00,5
2019-03-16 01:02:00,5
2019-03-16 01:03:00,5
2019-03-16 01:04:00,4
2019-03-16 01:05:00,4
2019-03-16 01:06:00,5
2019-03-16 01:07:00,5
2019-03-16 01:08:00,5
2019-03-16 01:09:00,5
2019-03-16 01:10:00,5
2019-03-16 01:11:00,5
2019-03-16 01:12:00,4
2019-03-16 01:13:00,5
2019-03-16 01:14:00,5
2019-03-16 01:15:00,5
2019-03-16 01:16:00,5
2019-03-16 01:17:00,5
2019-03-16 01:18:00,5
2019-03-16 01:19:00,4
2019-03-16 01:20:00,5
2019-03-16 01:21:00,4
2019-03-16 01:22:00,5
2019-03-16 01:23:00,5
2019-03-16 01:24:00,5
2019-03-16 01:25:00,4
2019-03-16 01:26:00,5
2019-03-16 01:27:00,5
2019-03-16 01:28:00,5
2019-03-16 01:29:00,4
2019-03-16 01:30:00,5
2019-03-16 01:31:00,5
2019-03-16 01:32:00,5
2019-03-16 01:33:00,4
2019-03-16 01:34:00,5
2019-03-16 01:35:00,5
2019-03-16 01:36:00,5
2019-03-16 01:37:00,5
2019-03-16 01:38:00,5
2019-03-16 01:39:00,4
2019-03-16 01:40:00,5
2019-03-16 01:41:00,5
2019-03-16 01:42:00,5
2019-03-16 01:43:00,5
2019-03-16 01:44:00,5
2019-03-16 01:45:00,4
2019-03-16 01:46:00,5
2019-03-16 01:47:00,5
2019-03-16 01:48:00,5
2019-03-16 01:49:00,5
2019-03-16 01:50:00,5
2019-03-16 01:51:00,5
2019-03-16 01:52:00,4
2019-03-16 01:53:00,5
2019-03-16 01:54:00,5
2019-03-16 01:55:00,5
2019-03-16 01:56:00,5
2019-03-16 01:57:00,4
2019-03-16 01:58:00,5
2019-03-16 01:59:00,5
2019-03-16 02:00:00,5
2019-03-16 02:01:00,5
2019-03-16 02:02:00,5
2019-03-16 02:03:00,5
2019-03-16 02:04:00,4
2019-03-16 02:05:00,5
2019-03-16 02:06:00,4
2019-03-16 02:07:00,5
2019-03-16 02:08:00,5
2019-03-16 02:09:00,4
2019-03-16 02:10:00,5
2019-03-16 02:11:00,5
2019-03-16 02:12:00,5
2019-03-16 02:13:00,5
2019-03-16 02:14:00,5
2019-03-16 02:15:00,5
2019-03-16 02:16:00,5
2019-03-16 02:17:00,5
2019-03-16 02:18:00,5
2019-03-16 02:19:00,4
2019-03-16 02:20:00,5
2019-03-16 02:21:00,5
2019-03-16 02:22:00,5
2019-03-16 02:23:00,5
2019-03-16 02:24:00,5
2019-03-16 02:25:00,5
2019-03-16 02:26:00,5
2019-03-16 02:27:00,5
2019-03-16 02:28:00,5
2019-03-16 02:29:00,4
2019-03-16 02:30:00,1
2019-03-16 16:12:00,1
2019-03-16 16:13:00,7
2019-03-16 16:14:00,2
2019-03-16 16:38:00,2
2019-03-16 16:39:00,5
2019-03-16 16:40:00,4
2019-03-16 16:41:00,5
2019-03-16 16:42:00,5
2019-03-16 16:43:00,4
2019-03-16 16:44:00,4
2019-03-16 16:45:00,5
2019-03-16 16:46:00,4
2019-03-16 16:47:00,5
2019-03-16 16:48:00,5
2019-03-16 16:49:00,4
2019-03-16 16:50:00,5
2019-03-16 16:51:00,5
2019-03-16 16:52:00,4
2019-03-16 16:53:00,5
2019-03-16 16:54:00,5
2019-03-16 16:55:00,4
2019-03-16 16:56:00,5
2019-03-16 16:57:00,4
2019-03-16 16:58:00,5
2019-03-16 16:59:00,5
2019-03-16 17:00:00,5
2019-03-16 17:01:00,4
2019-03-16 17:02:00,5
2019-03-16 17:03:00,5
2019-03-16 17:04:00,5
2019-03-16 17:05:00,4
2019-03-16 17:06:00,5
2019-03-16 17:07:00,4
2019-03-16 17:08:00,4
2019-03-16 17:09:00,5
2019-03-16 17:10:00,4
2019-03-16 17:11:00,4
2019-03-16 17:12:00,5
2019-03-16 17:13:00,4
2019-03-16 17:14:00,4
2019-03-16 17:15:00,4
2019-03-16 17:16:00,5
2019-03-16 17:17:00,4
2019-03-16 17:18:00,4
2019-03-16 17:19:00,5
2019-03-16 17:20:00,4
2019-03-16 17:21:00,4
2019-03-16 17:22:00,4
2019-03-16 17:23:00,5
2019-03-16 17:24:00,5
2019-03-16 17:25:00,4
2019-03-16 17:26:00,4
2019-03-16 17:27:00,5
2019-03-16 17:28:00,4
2019-03-16 17:29:00,4
2019-03-16 17:30:00,4
2019-03-16 17:31:00,4
2019-03-16 17:32:00,5
2019-03-16 17:33:00,4
2019-03-16 17:34:00,5
2019-03-16 17:35:00,4
2019-03-16 17:36:00,4
2019-03-16 17:37:00,5
2019-03-16 17:38:00,4
2019-03-16 17:39:00,4
2019-03-16 17:40:00,4
2019-03-16 17:41:00,4
2019-03-16 17:42:00,5
2019-03-16 17:43:00,4
2019-03-16 17:44:00,5
2019-03-16 17:45:00,4
2019-03-16 17:46:00,4
2019-03-16 17:47:00,5
2019-03-16 17:48:00,4
2019-03-16 17:49:00,4
2019-03-16 17:50:00,4
2019-03-16 17:51:00,4
2019-03-16 17:52:00,5
2019-03-16 17:53:00,4
2019-03-16 17:54:00,4
2019-03-16 17:55:00,4
2019-03-16 17:56:00,4
2019-03-16 17:57:00,5
2019-03-16 17:58:00,4
2019-03-16 17:59:00,4
2019-03-16 18:00:00,4
2019-03-16 18:01:00,5
2019-03-16 18:02:00,4
2019-03-16 18:03:00,5
2019-03-16 18:04:00,4
2019-03-16 18:05:00,4
2019-03-16 18:06:00,4
2019-03-16 18:07:00,5
2019-03-16 18:08:00,4
2019-03-16 18:09:00,4
2019-03-16 18:10:00,4
2019-03-16 18:11:00,5
2019-03-16 18:12:00,4
2019-03-16 18:13:00,5
2019-03-16 18:14:00,4
2019-03-16 18:15:00,5
2019-03-16 18:16:00,5
2019-03-16 18:17:00,4
2019-03-16 18:18:00,5
2019-03-16 18:19:00,4
2019-03-16 18:20:00,4
2019-03-16 18:21:00,4
2019-03-16 18:22:00,5
2019-03-16 18:23:00,4
2019-03-16 18:24:00,4
2019-03-16 18:25:00,5
2019-03-16 18:26:00,4
2019-03-16 18:27:00,4
2019-03-16 18:28:00,5
2019-03-16 18:29:00,4
2019-03-16 18:30:00,4
2019-03-16 18:31:00,4
2019-03-16 18:32:00,5
2019-03-16 18:33:00,4
2019-03-16 18:34:00,5
2019-03-16 18:35:00,5
2019-03-16 18:36:00,4
2019-03-16 18:37:00,4
2019-03-16 18:38:00,5
2019-03-16 18:39:00,4
2019-03-16 18:40:00,4
2019-03-16 18:41:00,4
2019-03-16 18:42:00,5
2019-03-16 18:43:00,4
2019-03-16 18:44:00,5
2019-03-16 18:45:00,5
2019-03-16 18:46:00,5
2019-03-16 18:47:00,4
2019-03-16 18:48:00,5
2019-03-16 18:49:00,5
2019-03-16 18:50:00,4
2019-03-16 18:51:00,5
2019-03-16 18:52:00,5
2019-03-16 18:53:00,4
2019-03-16 18:54:00,4
2019-03-16 18:55:00,5
2019-03-16 18:56:00,4
2019-03-16 18:57:00,4
2019-03-16 18:58:00,4
