4641,"select ra,dec,l,b, extinction_u, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-03-16 03:38:00,3
2019-03-16 03:39:00,4
2019-03-16 03:40:00,5
2019-03-16 03:41:00,2
2019-03-16 03:42:00,4
2019-03-16 03:43:00,5
2019-03-16 03:44:00,5
2019-03-16 03:45:00,5
2019-03-16 03:46:00,6
2019-03-16 03:47:00,5
2019-03-16 03:48:00,4
2019-03-16 03:49:00,6
2019-03-16 03:50:00,5
2019-03-16 03:51:00,6
2019-03-16 03:52:00,5
2019-03-16 03:53:00,3
2019-03-16 03:54:00,5
2019-03-16 03:55:00,5
2019-03-16 03:56:00,5
2019-03-16 03:57:00,8
2019-03-16 03:58:00,6
2019-03-16 03:59:00,7
2019-03-16 04:00:00,5
2019-03-16 04:01:00,6
2019-03-16 04:02:00,5
2019-03-16 04:03:00,6
2019-03-16 04:04:00,5
2019-03-16 04:05:00,6
2019-03-16 04:06:00,5
2019-03-16 04:07:00,6
2019-03-16 04:08:00,7
2019-03-16 04:09:00,7
2019-03-16 04:10:00,7
2019-03-16 04:11:00,6
2019-03-16 04:12:00,7
2019-03-16 04:13:00,5
2019-03-16 04:14:00,6
2019-03-16 04:49:00,1
2019-03-16 04:50:00,5
2019-03-16 04:51:00,5
2019-03-16 04:52:00,6
2019-03-16 04:53:00,4
2019-03-16 04:54:00,7
2019-03-16 04:55:00,8
2019-03-16 04:56:00,7
2019-03-16 04:57:00,6
2019-03-16 04:58:00,6
2019-03-16 04:59:00,6
2019-03-16 05:00:00,6
2019-03-16 05:01:00,6
2019-03-16 05:02:00,8
2019-03-16 05:03:00,6
2019-03-16 05:04:00,5
2019-03-16 05:39:00,3
2019-03-16 05:40:00,10
2019-03-16 05:41:00,5
2019-03-16 05:42:00,9
2019-03-16 05:43:00,7
2019-03-16 05:44:00,7
2019-03-16 05:45:00,2
2019-03-16 06:20:00,4
2019-03-16 06:21:00,8
2019-03-16 06:22:00,7
2019-03-16 06:23:00,5
2019-03-16 06:24:00,5
2019-03-16 06:25:00,6
2019-03-16 06:26:00,11
2019-03-16 06:27:00,5
2019-03-16 06:28:00,5
2019-03-16 06:29:00,6
2019-03-16 06:30:00,10
2019-03-16 06:31:00,5
2019-03-16 06:32:00,9
2019-03-16 06:33:00,7
2019-03-16 06:34:00,7
2019-03-16 06:35:00,5
2019-03-16 06:36:00,6
2019-03-16 06:37:00,8
2019-03-16 06:38:00,7
2019-03-16 06:39:00,8
2019-03-16 06:40:00,7
2019-03-16 06:41:00,9
2019-03-16 06:42:00,7
2019-03-16 06:43:00,4
2019-03-16 06:44:00,7
2019-03-16 06:45:00,9
2019-03-16 06:46:00,7
2019-03-16 06:47:00,6
2019-03-16 06:48:00,6
2019-03-16 06:49:00,7
2019-03-16 06:50:00,5
2019-03-16 06:51:00,5
2019-03-16 06:52:00,6
2019-03-16 06:53:00,7
2019-03-16 06:54:00,5
2019-03-16 06:55:00,6
2019-03-16 06:56:00,7
2019-03-16 06:57:00,6
2019-03-16 06:58:00,6
2019-03-16 06:59:00,7
2019-03-16 07:00:00,10
2019-03-16 07:01:00,9
2019-03-16 07:02:00,8
2019-03-16 07:03:00,6
2019-03-16 07:04:00,9
2019-03-16 07:05:00,13
2019-03-16 07:06:00,8
2019-03-16 07:07:00,6
2019-03-16 07:08:00,10
2019-03-16 07:09:00,7
2019-03-16 07:10:00,7
2019-03-16 07:11:00,7
2019-03-16 07:12:00,9
2019-03-16 07:13:00,12
2019-03-16 07:14:00,11
2019-03-16 07:15:00,11
