124,SELECT COUNT(*)
2019-03-16 11:11:00,1
2019-03-16 14:27:00,1
2019-03-16 14:30:00,1
2019-03-16 14:32:00,1
2019-03-16 14:33:00,1
2019-03-16 14:46:00,1
2019-03-16 14:53:00,2
2019-03-16 14:54:00,2
2019-03-16 14:55:00,3
2019-03-16 14:56:00,1
2019-03-16 14:58:00,2
2019-03-16 14:59:00,4
2019-03-16 15:00:00,1
2019-03-16 15:01:00,3
2019-03-16 15:21:00,1
2019-03-16 15:22:00,2
2019-03-16 15:23:00,2
2019-03-16 15:24:00,3
2019-03-16 15:25:00,2
2019-03-16 16:16:00,3
2019-03-16 16:17:00,7
2019-03-16 16:18:00,1
2019-03-16 16:20:00,3
2019-03-16 16:22:00,1
2019-03-16 16:23:00,7
2019-03-16 16:56:00,2
2019-03-16 18:47:00,1
2019-03-16 18:51:00,1
2019-03-16 18:58:00,3
2019-03-16 19:01:00,2
2019-03-16 19:25:00,1
2019-03-16 19:26:00,1
2019-03-16 19:27:00,1
2019-03-16 19:29:00,2
2019-03-16 19:30:00,4
2019-03-16 19:31:00,1
2019-03-16 19:44:00,1
2019-03-16 19:53:00,1
2019-03-16 19:54:00,1
2019-03-16 19:56:00,1
2019-03-16 19:57:00,2
2019-03-16 20:00:00,1
2019-03-16 20:04:00,1
2019-03-16 20:05:00,1
2019-03-16 20:18:00,1
2019-03-16 20:22:00,1
2019-03-16 20:25:00,1
2019-03-16 20:26:00,2
2019-03-16 20:43:00,2
2019-03-16 20:44:00,1
2019-03-16 20:48:00,1
2019-03-16 20:49:00,2
2019-03-16 20:50:00,1
2019-03-16 20:51:00,2
2019-03-16 20:52:00,2
2019-03-16 20:53:00,2
2019-03-16 20:54:00,3
2019-03-16 20:55:00,2
2019-03-16 21:29:00,1
2019-03-16 21:30:00,1
2019-03-16 21:31:00,1
2019-03-16 21:32:00,2
2019-03-16 21:33:00,2
2019-03-16 21:34:00,2
2019-03-16 21:35:00,4
2019-03-16 21:36:00,2
2019-03-16 21:37:00,2
