37,"select top # p.ra, p.dec, p.deVRad_r, q.z from galaxy p, dbo.fgetNearByObjEq(#,#,#) n, galSpecInfo q where p.objid=n.objid and p.specObjID=q.specObjID and p.specObjID<># and q.z># and abs(#*(#-q.z))<#"
2019-03-16 18:28:00,2
2019-03-16 18:31:00,2
2019-03-16 18:32:00,2
2019-03-16 18:33:00,2
2019-03-16 18:34:00,1
2019-03-16 18:38:00,2
2019-03-16 18:41:00,1
2019-03-16 18:42:00,1
2019-03-16 18:44:00,1
2019-03-16 18:45:00,1
2019-03-16 18:46:00,2
2019-03-16 18:47:00,1
2019-03-16 18:49:00,1
2019-03-16 18:50:00,2
2019-03-16 18:51:00,1
2019-03-16 18:52:00,2
2019-03-16 18:53:00,1
2019-03-16 18:55:00,2
2019-03-16 18:57:00,1
2019-03-16 19:01:00,1
2019-03-16 19:06:00,1
2019-03-16 19:46:00,1
2019-03-16 19:50:00,1
2019-03-16 19:56:00,1
2019-03-16 20:33:00,1
2019-03-16 20:35:00,1
2019-03-16 20:47:00,1
2019-03-16 20:48:00,1
