1328,"SELECT p.objid, p.ra, p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags                 , z.z as photoz,z.zErr as photozErr, s.z_noqso as specz,s.zErr_noqso as speczErr                 , dbo.fPhotoFlagsN(p.flags) as note                 FROM GALAXY as p                 LEFT OUTER JOIN photoz as z ON z.objID = p.objID                 LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID                 , dbo.fGetNearbyObjEq(#,#,#) as near                 WHERE p.objID = near.objID AND                  ((flags & #)!=#) AND ((flags & #)=#) AND                  ((flags & #)=#) AND ((flags & #)!=#)"
2019-06-04 01:51:00,3
2019-06-04 01:52:00,7
2019-06-04 01:53:00,3
2019-06-04 01:54:00,6
2019-06-04 01:55:00,4
2019-06-04 01:56:00,3
2019-06-04 01:57:00,2
2019-06-04 01:58:00,1
2019-06-04 01:59:00,2
2019-06-04 02:00:00,1
2019-06-04 02:01:00,4
2019-06-04 02:02:00,4
2019-06-04 02:03:00,4
2019-06-04 02:04:00,4
2019-06-04 02:05:00,8
2019-06-04 02:06:00,3
2019-06-04 02:07:00,10
2019-06-04 02:08:00,7
2019-06-04 02:09:00,11
2019-06-04 02:10:00,12
2019-06-04 02:11:00,8
2019-06-04 02:12:00,3
2019-06-04 02:13:00,2
2019-06-04 02:14:00,5
2019-06-04 02:15:00,6
2019-06-04 02:16:00,6
2019-06-04 02:17:00,4
2019-06-04 02:18:00,5
2019-06-04 02:19:00,6
2019-06-04 02:20:00,3
2019-06-04 02:21:00,4
2019-06-04 02:22:00,5
2019-06-04 02:59:00,5
2019-06-04 03:00:00,5
2019-06-04 03:57:00,5
2019-06-04 03:58:00,7
2019-06-04 03:59:00,5
2019-06-04 04:00:00,6
2019-06-04 04:01:00,5
2019-06-04 04:02:00,1
2019-06-04 04:03:00,3
2019-06-04 04:04:00,7
2019-06-04 04:05:00,6
2019-06-04 04:06:00,5
2019-06-04 04:07:00,9
2019-06-04 04:08:00,8
2019-06-04 04:09:00,8
2019-06-04 04:10:00,11
2019-06-04 04:11:00,12
2019-06-04 04:12:00,9
2019-06-04 04:13:00,4
2019-06-04 04:14:00,5
2019-06-04 04:15:00,8
2019-06-04 04:16:00,7
2019-06-04 04:17:00,6
2019-06-04 04:18:00,7
2019-06-04 04:19:00,4
2019-06-04 04:20:00,6
2019-06-04 04:21:00,5
2019-06-04 04:22:00,4
2019-06-04 04:23:00,2
2019-06-04 04:24:00,3
2019-06-04 04:25:00,4
2019-06-04 04:26:00,1
2019-06-04 04:27:00,1
2019-06-04 04:28:00,4
2019-06-04 04:29:00,9
2019-06-04 04:30:00,3
2019-06-04 04:31:00,4
2019-06-04 04:32:00,6
2019-06-04 04:33:00,5
2019-06-04 04:34:00,7
2019-06-04 04:35:00,5
2019-06-04 04:36:00,4
2019-06-04 04:37:00,5
2019-06-04 04:38:00,5
2019-06-04 04:39:00,3
2019-06-04 04:40:00,3
2019-06-04 04:41:00,3
2019-06-04 04:42:00,2
2019-06-04 04:43:00,1
2019-06-04 04:44:00,3
2019-06-04 04:45:00,1
2019-06-04 04:46:00,3
2019-06-04 04:47:00,2
2019-06-04 04:48:00,4
2019-06-04 04:49:00,3
2019-06-04 04:50:00,3
2019-06-04 04:51:00,1
2019-06-04 04:52:00,3
2019-06-04 04:53:00,2
2019-06-04 04:54:00,2
2019-06-04 04:55:00,4
2019-06-04 04:56:00,4
2019-06-04 04:57:00,2
2019-06-04 04:58:00,5
2019-06-04 04:59:00,4
2019-06-04 05:00:00,7
2019-06-04 05:01:00,11
2019-06-04 05:02:00,8
2019-06-04 05:03:00,8
2019-06-04 05:04:00,7
2019-06-04 05:05:00,6
2019-06-04 05:06:00,8
2019-06-04 05:07:00,6
2019-06-04 05:08:00,7
2019-06-04 05:09:00,6
2019-06-04 05:10:00,4
2019-06-04 05:11:00,4
2019-06-04 05:12:00,3
2019-06-04 05:13:00,5
2019-06-04 05:14:00,2
2019-06-04 05:15:00,5
2019-06-04 05:16:00,1
2019-06-04 05:40:00,3
2019-06-04 05:41:00,8
2019-06-04 05:42:00,8
2019-06-04 05:43:00,7
2019-06-04 05:44:00,4
2019-06-04 05:45:00,8
2019-06-04 05:46:00,7
2019-06-04 05:47:00,10
2019-06-04 05:48:00,9
2019-06-04 05:49:00,10
2019-06-04 05:50:00,11
2019-06-04 05:51:00,15
