3635,"SELECT dbo.fGetNearestSpecObjIdAllEq(#,#,#) as specObjID"
2019-06-04 16:35:00,38
2019-06-04 16:36:00,117
2019-06-04 16:37:00,147
2019-06-04 16:38:00,118
2019-06-04 16:39:00,94
2019-06-04 16:40:00,16
2019-06-04 16:48:00,54
2019-06-04 16:49:00,139
2019-06-04 16:50:00,157
2019-06-04 16:51:00,153
2019-06-04 16:52:00,149
2019-06-04 16:53:00,110
2019-06-04 16:54:00,110
2019-06-04 16:55:00,156
2019-06-04 16:56:00,82
2019-06-04 16:57:00,49
2019-06-04 16:58:00,2
2019-06-04 17:01:00,39
2019-06-04 17:02:00,100
2019-06-04 17:03:00,133
2019-06-04 17:04:00,137
2019-06-04 17:05:00,98
2019-06-04 17:06:00,96
2019-06-04 17:07:00,91
2019-06-04 17:08:00,145
2019-06-04 17:09:00,166
2019-06-04 17:10:00,169
2019-06-04 17:11:00,166
2019-06-04 17:12:00,119
2019-06-04 17:13:00,96
2019-06-04 17:14:00,32
2019-06-04 17:15:00,15
2019-06-04 18:48:00,8
2019-06-04 18:54:00,1
2019-06-04 18:56:00,1
2019-06-04 18:58:00,1
2019-06-04 19:09:00,30
2019-06-04 19:10:00,64
2019-06-04 19:11:00,63
2019-06-04 19:12:00,42
2019-06-04 19:18:00,1
2019-06-04 19:20:00,2
2019-06-04 20:00:00,3
2019-06-04 20:01:00,9
2019-06-04 20:05:00,3
2019-06-04 20:06:00,3
2019-06-04 20:07:00,40
2019-06-04 20:08:00,12
2019-06-04 20:09:00,1
2019-06-04 20:11:00,28
2019-06-04 20:12:00,19
2019-06-04 20:13:00,1
2019-06-04 20:20:00,3
2019-06-04 20:21:00,2
2019-06-04 20:22:00,2
2019-06-04 20:24:00,3
