18,"SELECT p.objid, p.ra, p.dec, p.run, p.rerun, p.camcol, p.field, dbo.fPhotoTypeN(p.type) as type, p.u, p.g, p.r, p.i, p.z, s.specobjid, s.class, s.z as redshift, s.plate, s.mjd, s.fiberid FROM PhotoObj as p JOIN SpecObj as s ON s.bestobjid = p.objid WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND ((p.g BETWEEN # AND #) OR (p.r BETWEEN # AND #)) AND (s.class= &&&)"
2019-06-04 00:42:00,1
2019-06-04 00:44:00,2
2019-06-04 00:45:00,1
2019-06-04 00:46:00,2
2019-06-04 00:47:00,1
2019-06-04 00:50:00,1
2019-06-04 00:51:00,1
2019-06-04 00:52:00,1
2019-06-04 00:53:00,2
2019-06-04 00:54:00,1
2019-06-04 00:57:00,3
2019-06-04 00:59:00,1
2019-06-04 01:00:00,1
