2,"SELECT DISTINCT s.ra, s.dec, s.z, s.zErr, s.fSpecClassN FROM PhotoObjAll AS p JOIN SpecObjAll s ON p.objID = s.bestObjID WHERE (s.plate=#)"
2019-06-04 07:53:00,1
2019-06-04 08:06:00,1
