167,select * from zoo2Stripe8#Coadd2 where dr8objid=#
2019-02-01 00:56:00,1
2019-02-01 14:45:00,5
2019-02-01 15:03:00,1
2019-02-01 17:22:00,1
2019-02-01 18:23:00,4
2019-02-01 18:24:00,37
2019-02-01 18:25:00,36
2019-02-01 18:26:00,7
2019-02-01 20:16:00,4
2019-02-01 20:17:00,7
2019-02-01 20:18:00,5
2019-02-01 20:19:00,5
2019-02-01 20:20:00,4
2019-02-01 20:21:00,5
2019-02-01 20:22:00,7
2019-02-01 20:23:00,3
2019-02-01 20:24:00,1
2019-02-01 21:03:00,1
2019-02-01 21:04:00,1
2019-02-01 21:05:00,8
2019-02-01 21:06:00,7
2019-02-01 21:07:00,4
2019-02-01 22:48:00,4
2019-02-01 22:49:00,7
2019-02-01 22:50:00,2
