164,select * from zoo2Stripe8#Coadd1 where dr8objid=#
2019-02-01 09:36:00,1
2019-02-01 13:20:00,1
2019-02-01 14:44:00,11
2019-02-01 14:45:00,4
2019-02-01 17:21:00,1
2019-02-01 18:05:00,1
2019-02-01 18:23:00,21
2019-02-01 20:40:00,1
2019-02-01 20:43:00,1
2019-02-01 20:53:00,2
2019-02-01 20:54:00,5
2019-02-01 20:55:00,10
2019-02-01 20:56:00,3
2019-02-01 20:57:00,7
2019-02-01 20:58:00,11
2019-02-01 20:59:00,5
2019-02-01 21:00:00,9
2019-02-01 21:01:00,6
2019-02-01 21:02:00,6
2019-02-01 22:39:00,1
2019-02-01 22:40:00,9
2019-02-01 22:41:00,7
2019-02-01 22:42:00,7
2019-02-01 22:43:00,6
2019-02-01 22:44:00,6
2019-02-01 22:45:00,6
2019-02-01 22:46:00,4
2019-02-01 22:47:00,7
2019-02-01 22:48:00,5
