4,"SELECT spec.bestobjid, spec.ra, spec.dec, spec.z, spec.zWarning, spec.sourceType, spec.survey INTO MyDB.DR1#_Stephane FROM SpecObj as spec WHERE           spec.ra BETWEEN # and # AND   spec.dec BETWEEN # and #"
2019-02-01 14:03:00,1
2019-02-01 14:05:00,1
2019-02-01 14:08:00,2
