199,"select ra,dec,l,b, #*LOG1#(psfFlux_u) + # - extinction_u + # as psfPogCorr_u, #*LOG1#(psfFlux_g) + # - extinction_g + # as psfPogCorr_g, #*LOG1#(psfFlux_r) + # - extinction_r + # as psfPogCorr_r, #*LOG1#(psfFlux_i) + # - extinction_i + # as psfPogCorr_i, #*LOG1#(psfFlux_z) + # - extinction_z + # as psfPogCorr_z, #/SQRT(psfFluxIvar_u)/psfFlux_u as psfPogErr_u, #/SQRT(psfFluxIvar_g)/psfFlux_g as psfPogErr_g, #/SQRT(psfFluxIvar_r)/psfFlux_r as psfPogErr_r, #/SQRT(psfFluxIvar_i)/psfFlux_i as psfPogErr_i, #/SQRT(psfFluxIvar_z)/psfFlux_z as psfPogErr_z from star as s where ra between # and # and dec between # and # and s.clean=# and psfFlux_u > # and psfFlux_g > # and psfFlux_r > # and psfFlux_i > # and psfFlux_z > # and psfMagErr_u < # and psfMagErr_g < # and psfMagErr_r < # and psfMagErr_i < # and psfMagErr_z < #"
2019-02-01 02:58:00,4
2019-02-01 02:59:00,5
2019-02-01 03:00:00,5
2019-02-01 03:01:00,5
2019-02-01 03:02:00,6
2019-02-01 03:03:00,6
2019-02-01 03:04:00,5
2019-02-01 03:05:00,3
2019-02-01 03:06:00,8
2019-02-01 03:07:00,6
2019-02-01 03:08:00,5
2019-02-01 03:09:00,8
2019-02-01 03:10:00,5
2019-02-01 03:11:00,6
2019-02-01 03:12:00,8
2019-02-01 03:13:00,5
2019-02-01 03:14:00,6
2019-02-01 03:15:00,6
2019-02-01 03:16:00,3
2019-02-01 03:17:00,6
2019-02-01 03:18:00,8
2019-02-01 03:19:00,5
2019-02-01 03:20:00,5
2019-02-01 03:21:00,9
2019-02-01 03:22:00,7
2019-02-01 03:23:00,7
2019-02-01 03:24:00,6
2019-02-01 03:25:00,6
2019-02-01 03:26:00,7
2019-02-01 03:27:00,8
2019-02-01 03:28:00,7
2019-02-01 03:29:00,5
2019-02-01 03:30:00,8
