4,"SELECT TOP # p.ra,p.dec,p.run,p.rerun,p.camCol,p.field,p.obj, &&& as filter FROM  #x x, #upload u,  BESTDR6..PhotoObj as p WHERE  ( p.type = # OR p.type = #) AND u.up_id = x.up_id AND x.objID=p.objID ORDER BY x.up_id"
2019-02-01 04:21:00,2
2019-02-01 04:39:00,2
