979,"SELECT ph.objid, ph.ra, ph.dec, ph.psfmag_u-ph.extinction_u as u0, ph.psfmag_g-ph.extinction_g as g0, ph.psfmag_r-ph.extinction_r as r0, ph.psfmag_i-ph.extinction_i as i0, ph.psfmag_z-ph.extinction_z as z0, ph.psfmagerr_u, ph.psfmagerr_g, ph.psfmagerr_r, ph.psfmagerr_i, ph.psfmagerr_z, ph.extinction_u, ph.extinction_g, ph.extinction_r, ph.extinction_i, ph.extinction_z, ph.specobjid FROM fGetNearbyObjEq( #, #,#) plmatch, photoobjall ph INTO mydb.photomatch_#_# WHERE plmatch.type=# AND ph.objid = plmatch.objid"
2019-02-01 03:57:00,1
2019-02-01 03:58:00,1
2019-02-01 03:59:00,2
2019-02-01 04:00:00,1
2019-02-01 04:01:00,1
2019-02-01 04:02:00,2
2019-02-01 04:03:00,1
2019-02-01 04:04:00,2
2019-02-01 04:05:00,1
2019-02-01 04:07:00,1
2019-02-01 04:08:00,2
2019-02-01 04:10:00,1
2019-02-01 04:11:00,1
2019-02-01 04:12:00,1
2019-02-01 04:13:00,1
2019-02-01 04:14:00,1
2019-02-01 04:15:00,1
2019-02-01 04:17:00,2
2019-02-01 04:19:00,1
2019-02-01 04:20:00,1
2019-02-01 04:21:00,1
2019-02-01 04:22:00,1
2019-02-01 04:23:00,1
2019-02-01 04:24:00,1
2019-02-01 04:25:00,1
2019-02-01 04:26:00,1
2019-02-01 04:27:00,1
2019-02-01 04:28:00,1
2019-02-01 04:29:00,1
2019-02-01 04:30:00,2
2019-02-01 04:31:00,1
2019-02-01 04:32:00,1
2019-02-01 04:33:00,1
2019-02-01 04:34:00,1
2019-02-01 04:35:00,1
2019-02-01 04:36:00,1
2019-02-01 04:37:00,1
2019-02-01 04:38:00,1
2019-02-01 04:39:00,1
2019-02-01 04:40:00,1
2019-02-01 04:41:00,1
2019-02-01 04:42:00,1
2019-02-01 04:43:00,1
2019-02-01 04:44:00,1
2019-02-01 04:45:00,1
2019-02-01 04:46:00,1
2019-02-01 04:47:00,2
2019-02-01 04:48:00,1
2019-02-01 04:49:00,1
2019-02-01 04:50:00,1
2019-02-01 04:51:00,1
2019-02-01 04:52:00,1
2019-02-01 04:53:00,1
2019-02-01 04:54:00,1
2019-02-01 04:55:00,1
2019-02-01 04:56:00,1
2019-02-01 04:57:00,1
2019-02-01 04:58:00,1
2019-02-01 04:59:00,1
2019-02-01 05:00:00,1
2019-02-01 05:01:00,1
2019-02-01 05:02:00,1
2019-02-01 05:04:00,1
2019-02-01 05:05:00,1
2019-02-01 05:06:00,1
2019-02-01 05:07:00,1
2019-02-01 05:08:00,2
2019-02-01 05:09:00,1
2019-02-01 05:10:00,2
