33,"SELECT TOP # p.ra,p.dec,p.type,p.modelmag_g,p.modelmag_r,p.modelmag_i,p.run,p.rerun,p.camcol,p.field,p.obj,p.objid,dbo.fIAUFromEq(p.ra,p.dec) FROM Star as p WHERE p.modelmag_r># and p.modelmag_r<# and p.ra<# and p.ra># and p.dec># and p.dec<# order by p.modelmag_r"
2019-02-01 23:11:00,1
2019-02-01 23:12:00,1
2019-02-01 23:14:00,2
2019-02-01 23:15:00,3
2019-02-01 23:16:00,2
2019-02-01 23:17:00,5
2019-02-01 23:18:00,1
2019-02-01 23:19:00,1
2019-02-01 23:20:00,5
2019-02-01 23:21:00,5
2019-02-01 23:22:00,4
2019-02-01 23:24:00,3
