15,"SELECT TOP #  p.run,p.rerun,p.camCol,p.field,p.obj  FROM ..PhotoObj AS p  JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID  WHERE ( p.type = # OR p.type = #)"
2019-02-01 03:58:00,1
2019-02-01 04:00:00,1
2019-02-01 10:09:00,1
2019-02-01 10:52:00,1
2019-02-01 15:48:00,1
2019-02-01 15:49:00,1
2019-02-01 20:03:00,1
2019-02-01 20:08:00,1
2019-02-01 20:25:00,1
2019-02-01 20:26:00,1
2019-02-01 20:28:00,1
2019-02-01 20:40:00,1
2019-02-01 20:47:00,1
2019-02-01 20:53:00,1
2019-02-01 20:55:00,1
