401,"SELECT DISTINCT p.ra , p.dec FROM PhotoObjAll p WHERE (p.ra BETWEEN # AND #) AND (p.dec BETWEEN # AND #) AND p.run = # AND p.rerun = # AND p.camcol = # AND p.field = # GROUP BY p.ra, p.dec"
2019-02-01 10:18:00,1
2019-02-01 10:23:00,1
2019-02-01 10:33:00,11
2019-02-01 10:34:00,37
2019-02-01 10:35:00,50
2019-02-01 10:36:00,39
2019-02-01 10:37:00,32
2019-02-01 10:45:00,3
2019-02-01 10:46:00,3
2019-02-01 10:47:00,3
2019-02-01 10:48:00,3
2019-02-01 10:49:00,2
2019-02-01 10:50:00,2
2019-02-01 10:51:00,1
2019-02-01 10:52:00,12
2019-02-01 10:53:00,6
2019-02-01 10:54:00,1
2019-02-01 10:55:00,4
2019-02-01 11:09:00,20
2019-02-01 11:11:00,10
2019-02-01 11:24:00,24
2019-02-01 11:25:00,26
2019-02-01 11:26:00,1
2019-02-01 11:27:00,1
2019-02-01 11:29:00,1
2019-02-01 11:37:00,1
2019-02-01 11:39:00,31
2019-02-01 11:40:00,5
2019-02-01 11:42:00,5
2019-02-01 11:44:00,5
2019-02-01 11:47:00,9
2019-02-01 11:48:00,4
2019-02-01 11:49:00,5
2019-02-01 11:50:00,1
2019-02-01 11:53:00,1
2019-02-01 11:55:00,15
2019-02-01 11:56:00,1
2019-02-01 13:33:00,2
2019-02-01 13:46:00,1
2019-02-01 13:50:00,1
2019-02-01 13:53:00,1
2019-02-01 13:57:00,2
2019-02-01 13:58:00,1
2019-02-01 14:02:00,1
2019-02-01 14:23:00,1
2019-02-01 15:18:00,1
2019-02-01 15:19:00,1
2019-02-01 15:21:00,1
2019-02-01 15:28:00,1
2019-02-01 15:29:00,1
2019-02-01 15:31:00,1
2019-02-01 15:33:00,1
2019-02-01 15:34:00,1
2019-02-01 15:35:00,2
2019-02-01 15:40:00,1
2019-02-01 16:04:00,1
2019-02-01 17:15:00,1
2019-02-01 17:16:00,1
