228,"SELECT p.objid, p.type, p.clean, p.ra, p.dec, p.raErr, p.decErr, p.psfMag_u,p.psfMag_g,p.psfMag_r,p.psfMag_i,p.psfMag_z, p.psfMagErr_u,p.psfMagErr_g,p.psfMagErr_r,p.psfMagErr_i,p.psfMagErr_z, p.petroR5#_u,p.petroR5#_g,p.petroR5#_r,p.petroR5#_i,p.petroR5#_z, p.psffwhm_u, p.psffwhm_g, p.psffwhm_r, p.psffwhm_i, p.psffwhm_z, p.modelMagErr_u,p.modelMagErr_g,p.modelMagErr_r,p.modelMagErr_i,p.modelMagErr_z, p.modelMag_u, p.modelMag_g, p.modelMag_r, p.modelMag_i, p.modelMag_z, pz.z, pz.zErr FROM PhotoObj AS p , dbo.fGetNearbyObjEq(#, #, #) AS n LEFT JOIN Photoz AS pz ON pz.objID = n.objID WHERE n.objID = p.objID"
2019-10-15 00:00:00,7
2019-10-15 00:01:00,6
2019-10-15 00:02:00,6
2019-10-15 00:03:00,6
2019-10-15 00:04:00,2
2019-10-15 00:05:00,3
2019-10-15 00:06:00,4
2019-10-15 00:07:00,3
2019-10-15 00:08:00,3
2019-10-15 00:09:00,1
2019-10-15 00:10:00,3
2019-10-15 00:11:00,3
2019-10-15 00:12:00,4
2019-10-15 00:13:00,4
2019-10-15 00:14:00,3
2019-10-15 00:15:00,3
2019-10-15 00:16:00,2
2019-10-15 00:17:00,3
2019-10-15 00:18:00,4
2019-10-15 00:19:00,4
2019-10-15 00:20:00,3
2019-10-15 00:21:00,4
2019-10-15 00:22:00,3
2019-10-15 00:23:00,3
2019-10-15 00:24:00,3
2019-10-15 00:25:00,3
2019-10-15 00:26:00,3
2019-10-15 00:27:00,3
2019-10-15 00:28:00,3
2019-10-15 00:29:00,2
2019-10-15 00:30:00,2
2019-10-15 00:31:00,2
2019-10-15 00:32:00,2
2019-10-15 00:33:00,2
2019-10-15 00:34:00,3
2019-10-15 00:35:00,3
2019-10-15 00:36:00,4
2019-10-15 00:37:00,3
2019-10-15 00:38:00,3
2019-10-15 00:39:00,2
2019-10-15 00:40:00,3
2019-10-15 00:41:00,3
2019-10-15 00:42:00,4
2019-10-15 00:43:00,3
2019-10-15 00:44:00,3
2019-10-15 00:45:00,4
2019-10-15 00:46:00,2
2019-10-15 00:47:00,3
2019-10-15 00:48:00,4
2019-10-15 00:49:00,2
2019-10-15 00:50:00,3
2019-10-15 00:51:00,3
2019-10-15 00:52:00,3
2019-10-15 00:53:00,3
2019-10-15 00:54:00,3
2019-10-15 00:55:00,3
2019-10-15 00:56:00,4
2019-10-15 00:57:00,3
2019-10-15 00:58:00,4
2019-10-15 00:59:00,3
2019-10-15 01:00:00,3
2019-10-15 01:01:00,4
2019-10-15 01:02:00,3
2019-10-15 01:03:00,3
2019-10-15 01:04:00,3
2019-10-15 01:05:00,4
2019-10-15 01:06:00,3
2019-10-15 01:07:00,4
2019-10-15 01:08:00,3
2019-10-15 01:09:00,3
2019-10-15 01:10:00,2
