654,"SELECT objid,ra,dec, class, z as redshift FROM SpecPhoto WHERE z ># AND z < # AND class = GALAXY&&&"
2019-10-15 14:34:00,3
2019-10-15 14:36:00,13
2019-10-15 14:37:00,10
2019-10-15 14:38:00,14
2019-10-15 14:39:00,30
2019-10-15 14:40:00,24
2019-10-15 14:41:00,33
2019-10-15 14:42:00,31
2019-10-15 14:43:00,23
2019-10-15 14:44:00,12
2019-10-15 14:45:00,12
2019-10-15 14:46:00,18
2019-10-15 14:47:00,20
2019-10-15 14:48:00,84
2019-10-15 16:17:00,23
2019-10-15 16:18:00,48
2019-10-15 16:19:00,25
2019-10-15 16:20:00,37
2019-10-15 16:21:00,31
2019-10-15 16:22:00,20
2019-10-15 16:23:00,19
2019-10-15 16:24:00,15
2019-10-15 16:25:00,22
2019-10-15 16:26:00,87
