5949,"SELECT DISTINCT p.ra, p.dec, p.objid, p.run, p.rerun, p.camcol, p.field, p.petroMag_u, p.petroMag_g, p.petroMag_r, p.petroMag_i, p.petroMag_z, p.petroMagErr_u, p.petroMagErr_g, p.petroMagErr_r, p.petroMagErr_i, p.petroMagErr_z, p.extinction_u, p.extinction_g, p.extinction_r, p.extinction_i, p.extinction_z FROM PhotoObjAll AS p WHERE ((p.ra between # and #) and (p.dec between # and #))"
2019-10-15 00:06:00,64
2019-10-15 00:07:00,36
2019-10-15 00:10:00,84
2019-10-15 00:11:00,28
2019-10-15 00:14:00,18
2019-10-15 00:15:00,36
2019-10-15 00:16:00,12
2019-10-15 00:25:00,34
2019-10-15 00:26:00,4
2019-10-15 01:22:00,12
2019-10-15 01:23:00,13
2019-10-15 01:26:00,5
2019-10-15 01:32:00,5
2019-10-15 01:33:00,22
2019-10-15 01:34:00,10
2019-10-15 01:35:00,6
2019-10-15 01:36:00,14
2019-10-15 01:37:00,1
2019-10-15 01:38:00,3
2019-10-15 01:41:00,24
2019-10-15 01:42:00,18
2019-10-15 01:43:00,18
2019-10-15 01:44:00,22
2019-10-15 01:45:00,4
2019-10-15 01:46:00,10
2019-10-15 01:47:00,16
2019-10-15 01:48:00,9
2019-10-15 01:49:00,32
2019-10-15 01:50:00,1
2019-10-15 01:51:00,15
2019-10-15 01:52:00,33
2019-10-15 01:53:00,12
2019-10-15 01:54:00,6
2019-10-15 01:55:00,14
2019-10-15 01:56:00,14
2019-10-15 01:57:00,9
2019-10-15 01:58:00,9
2019-10-15 01:59:00,18
2019-10-15 02:00:00,29
2019-10-15 02:01:00,9
2019-10-15 02:03:00,9
2019-10-15 02:04:00,22
2019-10-15 02:05:00,11
2019-10-15 02:06:00,14
2019-10-15 02:07:00,18
2019-10-15 02:08:00,1
2019-10-15 02:09:00,21
2019-10-15 02:10:00,35
2019-10-15 02:11:00,20
2019-10-15 02:12:00,14
2019-10-15 02:13:00,17
2019-10-15 02:14:00,17
2019-10-15 02:15:00,15
2019-10-15 02:16:00,16
2019-10-15 02:17:00,15
2019-10-15 02:18:00,28
2019-10-15 02:19:00,14
2019-10-15 02:20:00,15
2019-10-15 02:21:00,14
2019-10-15 02:22:00,4
2019-10-15 02:24:00,1
2019-10-15 02:25:00,26
2019-10-15 02:26:00,8
2019-10-15 02:27:00,4
2019-10-15 03:23:00,8
2019-10-15 03:24:00,3
2019-10-15 08:07:00,6
2019-10-15 08:08:00,16
2019-10-15 08:09:00,5
2019-10-15 08:10:00,13
2019-10-15 08:11:00,17
2019-10-15 08:12:00,9
2019-10-15 08:13:00,11
2019-10-15 08:14:00,4
2019-10-15 08:15:00,16
2019-10-15 08:16:00,10
2019-10-15 08:17:00,15
2019-10-15 08:18:00,11
2019-10-15 08:19:00,9
2019-10-15 08:20:00,12
2019-10-15 08:21:00,18
2019-10-15 08:22:00,6
2019-10-15 08:23:00,2
2019-10-15 08:24:00,5
2019-10-15 08:25:00,28
2019-10-15 08:26:00,23
2019-10-15 08:27:00,21
2019-10-15 08:28:00,10
2019-10-15 08:29:00,2
2019-10-15 08:31:00,8
2019-10-15 08:32:00,12
2019-10-15 08:33:00,6
2019-10-15 08:34:00,9
2019-10-15 08:35:00,7
2019-10-15 08:36:00,20
2019-10-15 08:37:00,19
2019-10-15 08:38:00,20
2019-10-15 08:39:00,7
2019-10-15 08:40:00,4
2019-10-15 08:41:00,17
2019-10-15 08:42:00,2
2019-10-15 08:45:00,25
2019-10-15 08:46:00,4
2019-10-15 08:47:00,10
2019-10-15 08:52:00,16
2019-10-15 08:53:00,24
2019-10-15 08:54:00,17
2019-10-15 08:55:00,4
2019-10-15 08:56:00,18
2019-10-15 08:57:00,5
2019-10-15 08:58:00,20
2019-10-15 09:00:00,3
2019-10-15 09:01:00,18
2019-10-15 09:02:00,6
2019-10-15 09:03:00,14
2019-10-15 09:04:00,14
2019-10-15 09:05:00,15
2019-10-15 09:06:00,11
2019-10-15 09:07:00,17
2019-10-15 09:08:00,8
2019-10-15 09:09:00,7
2019-10-15 09:10:00,4
2019-10-15 09:11:00,26
2019-10-15 09:12:00,16
2019-10-15 09:13:00,21
2019-10-15 09:14:00,34
2019-10-15 09:15:00,17
2019-10-15 09:16:00,26
2019-10-15 09:17:00,22
2019-10-15 09:18:00,9
2019-10-15 09:19:00,37
2019-10-15 09:20:00,14
2019-10-15 09:21:00,7
2019-10-15 09:22:00,9
2019-10-15 09:23:00,11
2019-10-15 09:24:00,24
2019-10-15 09:25:00,26
2019-10-15 09:26:00,16
2019-10-15 09:27:00,14
2019-10-15 09:30:00,15
2019-10-15 09:31:00,4
2019-10-15 09:32:00,15
2019-10-15 09:33:00,8
2019-10-15 09:34:00,12
2019-10-15 09:35:00,15
2019-10-15 09:36:00,16
2019-10-15 09:37:00,16
2019-10-15 09:38:00,7
2019-10-15 09:39:00,20
2019-10-15 09:40:00,10
2019-10-15 09:42:00,12
2019-10-15 09:43:00,12
2019-10-15 09:44:00,16
2019-10-15 09:45:00,23
2019-10-15 09:46:00,5
2019-10-15 09:47:00,5
2019-10-15 09:48:00,27
2019-10-15 09:49:00,10
