1326,"SELECT  &&& + cast(p.apstar_id as varchar(#)) + &&& + cast(p.apstar_id as varchar(#)) + &&& as apstar_id,    p.apogee_id,p.ra, p.dec, p.glon, p.glat,    p.vhelio_avg,p.vscatter,    a.teff,a.logg,a.metals    FROM apogeeStar p    JOIN fGetNearbyApogeeStarEq(#,#,#) n on p.apstar_id=n.apstar_id    JOIN aspcapStar a on a.apstar_id = p.apstar_id"
2019-10-15 00:02:00,1
2019-10-15 00:05:00,4
2019-10-15 00:06:00,3
2019-10-15 00:08:00,1
2019-10-15 00:12:00,1
2019-10-15 00:15:00,4
2019-10-15 00:16:00,3
2019-10-15 00:18:00,1
2019-10-15 00:22:00,1
2019-10-15 00:25:00,4
2019-10-15 00:26:00,3
2019-10-15 00:28:00,1
2019-10-15 00:32:00,1
2019-10-15 00:35:00,4
2019-10-15 00:36:00,3
2019-10-15 00:38:00,1
2019-10-15 00:42:00,1
2019-10-15 00:45:00,4
2019-10-15 00:46:00,3
2019-10-15 00:48:00,1
2019-10-15 00:52:00,1
2019-10-15 00:55:00,4
2019-10-15 00:56:00,3
2019-10-15 00:58:00,1
2019-10-15 01:02:00,1
2019-10-15 01:05:00,4
2019-10-15 01:06:00,3
2019-10-15 01:08:00,1
2019-10-15 01:12:00,1
2019-10-15 01:15:00,4
2019-10-15 01:16:00,3
2019-10-15 01:18:00,1
2019-10-15 01:22:00,1
2019-10-15 01:25:00,4
2019-10-15 01:26:00,3
2019-10-15 01:28:00,1
2019-10-15 01:32:00,1
2019-10-15 01:35:00,4
2019-10-15 01:36:00,3
2019-10-15 01:38:00,1
2019-10-15 01:42:00,1
2019-10-15 01:45:00,4
2019-10-15 01:46:00,3
2019-10-15 01:48:00,1
2019-10-15 01:52:00,1
2019-10-15 01:55:00,4
2019-10-15 01:56:00,3
2019-10-15 01:58:00,1
2019-10-15 02:02:00,1
2019-10-15 02:05:00,4
2019-10-15 02:06:00,3
2019-10-15 02:08:00,1
2019-10-15 02:12:00,1
2019-10-15 02:15:00,4
2019-10-15 02:16:00,3
2019-10-15 02:18:00,1
2019-10-15 02:22:00,1
2019-10-15 02:25:00,4
2019-10-15 02:26:00,3
2019-10-15 02:28:00,1
2019-10-15 02:32:00,1
2019-10-15 02:35:00,4
2019-10-15 02:36:00,3
2019-10-15 02:38:00,1
2019-10-15 02:42:00,1
2019-10-15 02:45:00,4
2019-10-15 02:46:00,3
2019-10-15 02:48:00,1
2019-10-15 02:52:00,1
2019-10-15 02:55:00,4
2019-10-15 02:56:00,3
2019-10-15 02:58:00,1
2019-10-15 03:02:00,1
2019-10-15 03:05:00,4
2019-10-15 03:06:00,3
2019-10-15 03:08:00,1
2019-10-15 03:12:00,1
2019-10-15 03:15:00,4
2019-10-15 03:16:00,3
2019-10-15 03:18:00,1
2019-10-15 03:22:00,1
2019-10-15 03:25:00,4
2019-10-15 03:26:00,3
2019-10-15 03:28:00,1
2019-10-15 03:32:00,1
2019-10-15 03:35:00,4
2019-10-15 03:36:00,3
2019-10-15 03:38:00,1
2019-10-15 03:42:00,1
2019-10-15 03:45:00,4
2019-10-15 03:46:00,3
2019-10-15 03:48:00,1
2019-10-15 03:52:00,1
2019-10-15 03:55:00,4
2019-10-15 03:56:00,3
2019-10-15 03:58:00,1
2019-10-15 04:02:00,1
2019-10-15 04:05:00,4
2019-10-15 04:06:00,4
2019-10-15 04:08:00,1
2019-10-15 04:12:00,1
2019-10-15 04:15:00,4
2019-10-15 04:16:00,3
2019-10-15 04:18:00,1
2019-10-15 04:22:00,1
