26,"SELECT TOP #  p.ra, p.dec  FROM PhotoObj AS p   Join SpecObj AS s ON s.bestobjid = p.objid  WHERE p.ra > #  AND p.ra < #  AND p.dec > #  AND s.class = &&&"
2019-10-15 10:56:00,2
2019-10-15 10:57:00,1
2019-10-15 10:58:00,1
2019-10-15 11:02:00,1
2019-10-15 11:07:00,1
2019-10-15 11:08:00,1
2019-10-15 13:15:00,1
2019-10-15 13:16:00,1
2019-10-15 13:26:00,1
2019-10-15 13:27:00,1
2019-10-15 13:28:00,2
2019-10-15 13:32:00,1
2019-10-15 13:34:00,1
2019-10-15 13:40:00,1
2019-10-15 13:44:00,2
2019-10-15 13:47:00,1
2019-10-15 13:48:00,1
2019-10-15 13:49:00,2
2019-10-15 13:50:00,1
2019-10-15 13:52:00,1
2019-10-15 13:53:00,1
2019-10-15 13:54:00,1
