568,"SELECT ra, dec, petroMag_g, petroMagErr_g, petroMag_r, petroMagErr_r, petroMag_i, petroMagErr_i FROM star WHERE (ra between # and #) and (dec between # and #) and (petroMag_g < #) and (petroMag_g>#)"
2019-09-10 00:06:00,1
2019-09-10 00:09:00,1
2019-09-10 00:16:00,1
2019-09-10 00:22:00,1
2019-09-10 00:25:00,1
2019-09-10 00:27:00,2
2019-09-10 00:28:00,1
2019-09-10 00:30:00,1
2019-09-10 00:31:00,1
2019-09-10 00:32:00,1
2019-09-10 00:33:00,1
2019-09-10 00:36:00,1
2019-09-10 00:40:00,1
2019-09-10 00:41:00,1
2019-09-10 00:42:00,1
2019-09-10 00:43:00,1
2019-09-10 00:44:00,1
2019-09-10 00:45:00,2
2019-09-10 00:46:00,1
2019-09-10 00:47:00,1
2019-09-10 00:48:00,1
2019-09-10 00:50:00,1
2019-09-10 00:51:00,1
2019-09-10 00:52:00,2
2019-09-10 00:53:00,2
2019-09-10 00:54:00,1
2019-09-10 00:56:00,2
2019-09-10 00:57:00,1
2019-09-10 00:58:00,1
2019-09-10 00:59:00,1
2019-09-10 01:00:00,3
2019-09-10 01:01:00,1
2019-09-10 01:07:00,1
2019-09-10 01:08:00,1
2019-09-10 01:09:00,1
2019-09-10 01:10:00,1
2019-09-10 01:11:00,2
2019-09-10 01:12:00,1
2019-09-10 01:13:00,2
2019-09-10 01:15:00,2
2019-09-10 01:16:00,1
2019-09-10 01:19:00,1
2019-09-10 01:20:00,1
2019-09-10 01:21:00,2
2019-09-10 01:22:00,1
2019-09-10 01:24:00,1
2019-09-10 01:25:00,1
2019-09-10 01:26:00,1
2019-09-10 01:27:00,1
2019-09-10 01:28:00,1
2019-09-10 01:30:00,1
2019-09-10 01:31:00,1
2019-09-10 01:32:00,1
2019-09-10 01:34:00,1
2019-09-10 01:37:00,1
2019-09-10 01:39:00,2
2019-09-10 01:42:00,2
2019-09-10 01:43:00,1
2019-09-10 01:44:00,1
2019-09-10 01:45:00,2
2019-09-10 01:47:00,1
2019-09-10 01:49:00,1
2019-09-10 01:50:00,1
2019-09-10 01:52:00,1
2019-09-10 01:53:00,1
2019-09-10 02:01:00,1
2019-09-10 02:07:00,1
2019-09-10 02:13:00,1
2019-09-10 02:14:00,1
2019-09-10 02:15:00,1
2019-09-10 02:17:00,1
2019-09-10 02:18:00,1
2019-09-10 02:21:00,1
2019-09-10 02:22:00,1
2019-09-10 02:30:00,1
2019-09-10 02:31:00,1
2019-09-10 02:36:00,1
2019-09-10 02:37:00,2
2019-09-10 02:39:00,1
2019-09-10 02:43:00,1
2019-09-10 02:44:00,1
2019-09-10 02:45:00,2
2019-09-10 02:46:00,1
2019-09-10 02:52:00,1
2019-09-10 02:53:00,1
2019-09-10 02:54:00,1
2019-09-10 02:55:00,1
2019-09-10 02:56:00,1
2019-09-10 03:03:00,1
2019-09-10 03:04:00,2
2019-09-10 03:06:00,2
2019-09-10 03:07:00,1
2019-09-10 03:08:00,1
2019-09-10 03:15:00,1
2019-09-10 03:16:00,1
2019-09-10 03:17:00,1
2019-09-10 03:23:00,1
2019-09-10 03:25:00,1
2019-09-10 03:31:00,1
2019-09-10 03:32:00,1
2019-09-10 03:33:00,2
2019-09-10 03:34:00,2
2019-09-10 03:35:00,1
2019-09-10 03:37:00,1
2019-09-10 03:38:00,1
2019-09-10 03:44:00,1
2019-09-10 03:48:00,1
2019-09-10 03:50:00,1
2019-09-10 03:51:00,1
2019-09-10 03:53:00,1
2019-09-10 03:54:00,1
2019-09-10 03:55:00,1
2019-09-10 03:56:00,2
2019-09-10 03:57:00,1
2019-09-10 03:59:00,1
2019-09-10 04:00:00,1
2019-09-10 04:01:00,2
2019-09-10 04:02:00,2
2019-09-10 04:03:00,1
2019-09-10 04:04:00,1
2019-09-10 04:05:00,2
2019-09-10 04:06:00,1
2019-09-10 04:07:00,1
2019-09-10 04:08:00,1
2019-09-10 04:10:00,1
2019-09-10 04:11:00,1
2019-09-10 04:12:00,1
2019-09-10 04:13:00,1
2019-09-10 04:14:00,1
2019-09-10 04:15:00,1
2019-09-10 04:16:00,1
2019-09-10 04:17:00,2
2019-09-10 04:18:00,2
2019-09-10 04:21:00,3
2019-09-10 04:22:00,1
2019-09-10 04:23:00,1
2019-09-10 04:24:00,1
2019-09-10 04:25:00,3
2019-09-10 04:26:00,2
2019-09-10 04:27:00,1
2019-09-10 04:28:00,1
2019-09-10 04:29:00,1
2019-09-10 04:31:00,1
2019-09-10 04:32:00,1
2019-09-10 04:33:00,2
2019-09-10 04:36:00,2
2019-09-10 04:39:00,2
2019-09-10 04:41:00,1
2019-09-10 04:45:00,1
2019-09-10 04:46:00,1
2019-09-10 04:47:00,1
2019-09-10 04:49:00,1
2019-09-10 04:50:00,2
2019-09-10 04:51:00,2
2019-09-10 04:52:00,1
2019-09-10 04:53:00,2
2019-09-10 04:54:00,1
2019-09-10 04:55:00,1
2019-09-10 04:58:00,2
2019-09-10 04:59:00,2
2019-09-10 05:01:00,1
2019-09-10 05:12:00,1
2019-09-10 05:13:00,2
2019-09-10 05:15:00,1
2019-09-10 05:16:00,1
2019-09-10 05:17:00,3
2019-09-10 05:18:00,2
2019-09-10 05:19:00,2
2019-09-10 05:20:00,1
2019-09-10 05:25:00,1
2019-09-10 05:26:00,1
2019-09-10 05:27:00,1
2019-09-10 05:29:00,1
2019-09-10 05:32:00,2
2019-09-10 05:33:00,1
2019-09-10 05:34:00,1
2019-09-10 05:35:00,1
2019-09-10 05:42:00,1
2019-09-10 05:44:00,1
2019-09-10 05:45:00,1
2019-09-10 05:47:00,1
2019-09-10 05:51:00,1
2019-09-10 05:54:00,1
2019-09-10 05:55:00,2
2019-09-10 05:56:00,1
2019-09-10 06:01:00,1
2019-09-10 06:12:00,1
2019-09-10 06:13:00,1
2019-09-10 06:17:00,1
2019-09-10 06:22:00,2
2019-09-10 06:24:00,2
2019-09-10 06:25:00,1
2019-09-10 06:26:00,2
2019-09-10 06:27:00,1
2019-09-10 06:28:00,1
2019-09-10 06:29:00,1
2019-09-10 06:30:00,1
2019-09-10 06:33:00,2
2019-09-10 06:34:00,1
2019-09-10 06:35:00,1
2019-09-10 06:36:00,2
2019-09-10 06:37:00,3
2019-09-10 06:38:00,2
2019-09-10 06:39:00,2
2019-09-10 06:40:00,1
2019-09-10 06:42:00,1
2019-09-10 06:43:00,1
2019-09-10 06:44:00,2
2019-09-10 06:45:00,2
2019-09-10 06:46:00,1
2019-09-10 06:47:00,2
2019-09-10 06:51:00,3
2019-09-10 06:52:00,2
2019-09-10 06:53:00,2
2019-09-10 06:56:00,1
2019-09-10 06:57:00,4
2019-09-10 06:58:00,3
2019-09-10 06:59:00,3
2019-09-10 07:00:00,2
2019-09-10 07:01:00,1
2019-09-10 07:05:00,1
2019-09-10 07:07:00,2
2019-09-10 07:08:00,1
2019-09-10 07:09:00,1
2019-09-10 07:11:00,2
2019-09-10 07:12:00,1
2019-09-10 07:14:00,3
2019-09-10 07:15:00,1
2019-09-10 07:16:00,1
2019-09-10 07:17:00,2
2019-09-10 07:18:00,1
2019-09-10 07:19:00,2
2019-09-10 07:20:00,1
2019-09-10 07:21:00,1
2019-09-10 07:22:00,1
2019-09-10 07:23:00,3
2019-09-10 07:24:00,2
2019-09-10 07:25:00,2
2019-09-10 07:26:00,2
2019-09-10 07:27:00,2
2019-09-10 07:28:00,2
2019-09-10 07:29:00,1
2019-09-10 07:30:00,2
2019-09-10 07:32:00,1
2019-09-10 07:35:00,1
2019-09-10 07:36:00,1
2019-09-10 07:37:00,1
2019-09-10 07:38:00,3
2019-09-10 07:39:00,2
2019-09-10 07:40:00,2
2019-09-10 07:44:00,1
2019-09-10 07:45:00,1
2019-09-10 07:46:00,1
2019-09-10 07:47:00,1
2019-09-10 07:48:00,1
2019-09-10 07:49:00,1
2019-09-10 07:50:00,2
2019-09-10 07:51:00,1
2019-09-10 07:52:00,3
2019-09-10 07:53:00,3
2019-09-10 07:54:00,1
2019-09-10 07:55:00,1
2019-09-10 07:56:00,2
2019-09-10 07:57:00,2
2019-09-10 07:58:00,1
2019-09-10 07:59:00,2
2019-09-10 08:00:00,1
2019-09-10 08:01:00,2
2019-09-10 08:02:00,3
2019-09-10 08:03:00,2
2019-09-10 08:04:00,2
2019-09-10 08:05:00,1
2019-09-10 08:06:00,2
2019-09-10 08:07:00,2
2019-09-10 08:08:00,3
2019-09-10 08:09:00,1
2019-09-10 08:10:00,1
2019-09-10 08:11:00,2
2019-09-10 08:12:00,2
2019-09-10 08:13:00,3
2019-09-10 08:14:00,2
2019-09-10 08:15:00,1
2019-09-10 08:16:00,1
2019-09-10 08:17:00,2
2019-09-10 08:18:00,3
2019-09-10 08:19:00,1
2019-09-10 08:20:00,2
2019-09-10 08:21:00,2
2019-09-10 08:23:00,1
2019-09-10 08:24:00,1
2019-09-10 08:25:00,2
2019-09-10 08:26:00,1
2019-09-10 08:28:00,1
2019-09-10 08:30:00,2
2019-09-10 08:31:00,2
2019-09-10 08:32:00,1
2019-09-10 08:33:00,2
2019-09-10 08:35:00,1
2019-09-10 08:41:00,1
2019-09-10 08:42:00,1
2019-09-10 08:43:00,1
2019-09-10 08:44:00,1
2019-09-10 08:45:00,1
2019-09-10 08:46:00,1
2019-09-10 08:49:00,1
2019-09-10 08:50:00,1
2019-09-10 08:51:00,2
2019-09-10 08:52:00,1
2019-09-10 08:55:00,1
2019-09-10 08:57:00,1
2019-09-10 08:58:00,3
2019-09-10 08:59:00,1
2019-09-10 09:00:00,2
2019-09-10 09:04:00,1
2019-09-10 09:08:00,1
2019-09-10 09:10:00,2
2019-09-10 09:11:00,1
2019-09-10 09:12:00,1
2019-09-10 09:17:00,3
2019-09-10 09:20:00,2
2019-09-10 09:21:00,2
2019-09-10 09:22:00,1
2019-09-10 09:24:00,1
2019-09-10 14:18:00,1
2019-09-10 14:26:00,1
2019-09-10 15:13:00,1
2019-09-10 15:21:00,1
2019-09-10 15:22:00,1
2019-09-10 15:23:00,1
2019-09-10 15:25:00,1
2019-09-10 15:26:00,1
2019-09-10 15:29:00,1
2019-09-10 15:37:00,1
2019-09-10 15:38:00,2
2019-09-10 15:39:00,1
2019-09-10 15:40:00,1
2019-09-10 15:47:00,1
2019-09-10 15:49:00,1
2019-09-10 15:52:00,1
2019-09-10 15:53:00,2
2019-09-10 15:54:00,2
2019-09-10 15:55:00,1
2019-09-10 15:57:00,1
2019-09-10 16:05:00,1
2019-09-10 16:08:00,1
2019-09-10 16:10:00,1
2019-09-10 16:18:00,1
2019-09-10 16:27:00,1
2019-09-10 16:36:00,1
2019-09-10 16:42:00,1
2019-09-10 16:43:00,1
2019-09-10 16:51:00,1
2019-09-10 16:55:00,1
2019-09-10 17:03:00,1
2019-09-10 17:04:00,1
2019-09-10 17:05:00,1
2019-09-10 17:15:00,1
2019-09-10 17:19:00,1
2019-09-10 17:27:00,1
2019-09-10 17:35:00,1
2019-09-10 17:44:00,1
2019-09-10 17:48:00,1
2019-09-10 17:56:00,1
2019-09-10 17:59:00,3
2019-09-10 18:00:00,1
2019-09-10 18:01:00,1
2019-09-10 18:09:00,1
2019-09-10 18:11:00,1
2019-09-10 18:15:00,1
2019-09-10 18:17:00,1
2019-09-10 18:26:00,1
2019-09-10 18:34:00,1
2019-09-10 18:37:00,1
2019-09-10 18:45:00,1
2019-09-10 18:49:00,1
2019-09-10 18:53:00,1
2019-09-10 18:56:00,1
2019-09-10 18:57:00,1
2019-09-10 18:58:00,2
2019-09-10 18:59:00,1
2019-09-10 19:08:00,1
2019-09-10 19:12:00,1
2019-09-10 19:16:00,1
2019-09-10 19:24:00,1
2019-09-10 19:33:00,1
2019-09-10 19:34:00,1
2019-09-10 19:35:00,1
2019-09-10 19:38:00,1
2019-09-10 19:42:00,1
2019-09-10 19:45:00,1
2019-09-10 19:48:00,1
2019-09-10 19:51:00,1
2019-09-10 19:55:00,1
2019-09-10 19:58:00,1
2019-09-10 20:01:00,1
2019-09-10 20:02:00,1
2019-09-10 20:04:00,1
2019-09-10 20:07:00,1
2019-09-10 20:09:00,1
2019-09-10 20:10:00,1
2019-09-10 20:55:00,1
2019-09-10 21:03:00,1
2019-09-10 21:11:00,1
2019-09-10 21:18:00,1
2019-09-10 21:22:00,1
2019-09-10 21:26:00,1
2019-09-10 21:29:00,1
2019-09-10 21:33:00,1
2019-09-10 21:34:00,2
2019-09-10 21:37:00,1
2019-09-10 21:38:00,1
2019-09-10 21:48:00,1
2019-09-10 21:52:00,1
2019-09-10 22:00:00,1
2019-09-10 22:08:00,1
2019-09-10 22:10:00,1
2019-09-10 22:14:00,1
2019-09-10 22:23:00,1
2019-09-10 22:31:00,1
2019-09-10 22:39:00,1
2019-09-10 22:48:00,1
2019-09-10 22:57:00,1
2019-09-10 23:07:00,1
2019-09-10 23:10:00,1
2019-09-10 23:14:00,1
2019-09-10 23:16:00,1
2019-09-10 23:17:00,1
2019-09-10 23:25:00,1
2019-09-10 23:28:00,1
2019-09-10 23:36:00,1
2019-09-10 23:40:00,1
2019-09-10 23:49:00,1
2019-09-10 23:52:00,1
