26,"SELECT S.ra as ra, S.dec as dec, S.objID as objID, S.z as redshift, GN.distance as distance FROM SpecPhoto as S JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON S.objID = GN.objID ORDER BY S.objID"
2019-09-10 00:09:00,1
2019-09-10 00:11:00,1
2019-09-10 00:13:00,1
2019-09-10 00:16:00,1
2019-09-10 00:17:00,1
2019-09-10 00:19:00,1
2019-09-10 00:20:00,2
2019-09-10 00:21:00,1
2019-09-10 00:24:00,1
2019-09-10 00:27:00,2
2019-09-10 01:11:00,1
2019-09-10 01:12:00,1
2019-09-10 01:17:00,1
2019-09-10 01:18:00,3
2019-09-10 01:19:00,1
2019-09-10 01:34:00,1
2019-09-10 01:53:00,1
2019-09-10 02:54:00,1
2019-09-10 03:40:00,1
2019-09-10 03:52:00,1
2019-09-10 04:20:00,1
2019-09-10 04:22:00,1
