29,"SELECT S.ra as ra, S.dec as dec, S.psfMag_i as mag, S.psfMagErr_i as magerr, GN.distance as distance, S.objID, S.flags FROM Star AS S JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON S.objID = GN.objID WHERE S.psfMag_i < # AND S.psfMag_i > # ORDER BY S.psfMag_i"
2019-09-10 01:34:00,1
2019-09-10 01:53:00,1
2019-09-10 02:54:00,1
2019-09-10 04:21:00,1
2019-09-10 04:27:00,1
2019-09-10 04:30:00,3
2019-09-10 04:31:00,1
2019-09-10 04:32:00,2
2019-09-10 04:37:00,2
2019-09-10 04:42:00,2
2019-09-10 04:53:00,1
2019-09-10 04:56:00,2
2019-09-10 05:00:00,1
2019-09-10 05:01:00,1
2019-09-10 05:24:00,2
2019-09-10 05:28:00,3
2019-09-10 05:31:00,2
2019-09-10 06:55:00,1
2019-09-10 06:56:00,1
