29,"SELECT G.ra as ra, G.dec as dec, G.cModelMag_i as mag, G.cModelMagErr_i as magerr, G.petroRad_i as rad, GN.distance as distance, # as priority, G.objID, G.flags FROM PhotoObj AS G JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON G.objID = GN.objID ORDER BY GN.distance"
2019-09-10 01:34:00,1
2019-09-10 01:53:00,1
2019-09-10 02:54:00,1
2019-09-10 04:21:00,1
2019-09-10 04:27:00,1
2019-09-10 04:30:00,3
2019-09-10 04:31:00,1
2019-09-10 04:32:00,2
2019-09-10 04:37:00,2
2019-09-10 04:42:00,2
2019-09-10 04:53:00,1
2019-09-10 04:56:00,2
2019-09-10 05:00:00,1
2019-09-10 05:01:00,1
2019-09-10 05:24:00,2
2019-09-10 05:28:00,3
2019-09-10 05:31:00,2
2019-09-10 06:55:00,1
2019-09-10 06:56:00,1
