18,"select p.objid as name, p.ra, p.dec from galaxy p, specobj s where p.objid=s.bestobjid and (p.g BETWEEN # AND #) and s.z BETWEEN # AND #"
2019-07-20 15:18:00,1
2019-07-20 15:23:00,1
2019-07-20 15:32:00,1
2019-07-20 15:40:00,2
2019-07-20 16:18:00,1
2019-07-20 16:21:00,1
2019-07-20 16:27:00,1
2019-07-20 16:30:00,1
2019-07-20 16:35:00,1
2019-07-20 17:49:00,1
2019-07-20 17:55:00,1
2019-07-20 18:02:00,1
2019-07-20 18:10:00,1
2019-07-20 18:15:00,1
2019-07-20 18:22:00,1
2019-07-20 18:27:00,1
2019-07-20 18:48:00,1
