39,select count(*) as thecount
2019-09-12 06:55:00,1
2019-09-12 06:57:00,1
2019-09-12 07:41:00,1
2019-09-12 07:42:00,2
2019-09-12 08:27:00,1
2019-09-12 08:28:00,3
2019-09-12 09:03:00,1
2019-09-12 09:06:00,2
2019-09-12 09:40:00,1
2019-09-12 09:41:00,2
2019-09-12 10:17:00,2
2019-09-12 10:50:00,1
2019-09-12 10:51:00,1
2019-09-12 10:52:00,1
2019-09-12 11:01:00,2
2019-09-12 11:21:00,1
2019-09-12 11:22:00,1
2019-09-12 11:35:00,1
2019-09-12 11:36:00,2
2019-09-12 12:13:00,1
2019-09-12 12:16:00,1
2019-09-12 13:06:00,1
2019-09-12 13:08:00,1
2019-09-12 13:32:00,2
2019-09-12 13:58:00,1
2019-09-12 14:00:00,1
2019-09-12 14:20:00,1
2019-09-12 14:21:00,1
2019-09-12 14:54:00,2
