2,"SELECT s.specObjID, s.ra, s.dec     FROM dbo.SpecObjAll AS s     WHERE SQRT(SQUARE(s.ra - #) + SQUARE(s.dec - #)) < #"
2019-09-12 14:48:00,1
2019-09-12 14:51:00,1
