217,"SELECT S.ra as ra, S.dec as dec, S.psfMag_i as mag, S.psfMagErr_i as magerr, GN.distance as distance, S.objID, S.flags FROM Star AS S JOIN dbo.fGetNearbyObjEq(#, #, #) AS GN ON S.objID = GN.objID WHERE S.psfMag_i < # AND S.psfMag_i > # ORDER BY S.psfMag_i"
2019-09-12 02:06:00,5
2019-09-12 02:07:00,2
2019-09-12 02:11:00,1
2019-09-12 02:12:00,6
2019-09-12 02:14:00,6
2019-09-12 02:15:00,1
2019-09-12 02:29:00,1
2019-09-12 02:30:00,6
2019-09-12 02:31:00,1
2019-09-12 02:32:00,6
2019-09-12 02:33:00,6
2019-09-12 02:35:00,4
2019-09-12 02:36:00,6
2019-09-12 02:37:00,2
2019-09-12 02:38:00,4
2019-09-12 02:39:00,5
2019-09-12 02:40:00,1
2019-09-12 02:42:00,2
2019-09-12 02:43:00,5
2019-09-12 02:45:00,1
2019-09-12 02:46:00,6
2019-09-12 02:49:00,2
2019-09-12 02:50:00,5
2019-09-12 03:05:00,4
2019-09-12 03:06:00,3
2019-09-12 03:16:00,1
2019-09-12 03:17:00,5
2019-09-12 03:18:00,2
2019-09-12 03:44:00,1
2019-09-12 03:45:00,6
2019-09-12 19:05:00,5
2019-09-12 19:06:00,5
2019-09-12 19:07:00,6
2019-09-12 19:08:00,5
2019-09-12 19:09:00,7
2019-09-12 19:10:00,3
2019-09-12 19:11:00,6
2019-09-12 19:12:00,8
2019-09-12 19:13:00,8
2019-09-12 19:14:00,7
2019-09-12 19:15:00,8
2019-09-12 22:59:00,5
2019-09-12 23:00:00,7
2019-09-12 23:01:00,7
2019-09-12 23:02:00,8
2019-09-12 23:03:00,8
2019-09-12 23:04:00,2
2019-09-12 23:10:00,5
2019-09-12 23:11:00,1
