45,SELECT TOP #
2019-09-12 09:05:00,1
2019-09-12 09:06:00,2
2019-09-12 09:12:00,2
2019-09-12 09:14:00,1
2019-09-12 09:23:00,3
2019-09-12 09:24:00,3
2019-09-12 09:38:00,1
2019-09-12 09:40:00,1
2019-09-12 09:41:00,5
2019-09-12 09:48:00,4
2019-09-12 09:49:00,2
2019-09-12 09:50:00,3
2019-09-12 09:53:00,1
2019-09-12 09:54:00,1
2019-09-12 09:55:00,3
2019-09-12 09:56:00,4
2019-09-12 10:02:00,2
2019-09-12 10:04:00,1
2019-09-12 10:19:00,1
2019-09-12 10:21:00,1
2019-09-12 10:23:00,2
2019-09-12 15:59:00,1
