15,"SELECT TOP #  s.plate,s.mjd,s.fiberid  FROM ..SpecObj as s  JOIN dbo.fGetNearbySpecObjEq(#,#,#) AS b ON b.SpecobjID = S.SpecobjID  WHERE s.zWarning = #"
2019-09-12 09:30:00,1
2019-09-12 09:36:00,1
2019-09-12 09:43:00,1
2019-09-12 09:50:00,1
2019-09-12 09:51:00,1
2019-09-12 09:58:00,1
2019-09-12 10:04:00,1
2019-09-12 10:08:00,1
2019-09-12 10:36:00,1
2019-09-12 11:56:00,1
2019-09-12 17:47:00,1
2019-09-12 18:13:00,1
2019-09-12 18:36:00,1
2019-09-12 18:49:00,1
2019-09-12 22:50:00,1
