316,"SELECT s.specObjID, s.ra, s.dec     FROM dbo.SpecObjAll AS s     WHERE SQRT(SQUARE(s.ra - #) + SQUARE(s.dec - #)) < # and s.z > #"
2019-09-12 15:11:00,2
2019-09-12 15:46:00,3
2019-09-12 16:00:00,41
2019-09-12 16:01:00,63
2019-09-12 16:02:00,63
2019-09-12 16:03:00,67
2019-09-12 16:04:00,65
2019-09-12 16:05:00,12
