2,"SELECT u.up_name as [name], s.specobjid, s.ra, s.dec, s.plate, s.mjd, s.fiberid, s.elodiefeh, s.elodieteff, s.elodielogg FROM #upload u       JOIN #x x ON x.up_id = u.up_id       JOIN SpecObjAll s ON s.specObjID = x.specObjID"
2019-09-12 03:51:00,1
2019-09-12 03:57:00,1
