75,"SELECT TOP # rerun, camcol, field FROM PhotoObj WHERE ra BETWEEN # and # AND dec BETWEEN # and #"
2019-07-11 03:31:00,1
2019-07-11 03:32:00,1
2019-07-11 04:00:00,1
2019-07-11 04:30:00,1
2019-07-11 04:31:00,1
2019-07-11 04:32:00,1
2019-07-11 04:33:00,1
2019-07-11 04:34:00,1
2019-07-11 04:35:00,2
2019-07-11 10:01:00,1
2019-07-11 10:30:00,1
2019-07-11 10:31:00,1
2019-07-11 10:32:00,1
2019-07-11 10:33:00,1
2019-07-11 10:34:00,1
2019-07-11 10:35:00,10
2019-07-11 10:36:00,2
2019-07-11 10:37:00,1
2019-07-11 10:38:00,1
2019-07-11 10:39:00,1
2019-07-11 10:40:00,1
2019-07-11 10:41:00,2
2019-07-11 11:50:00,21
2019-07-11 14:05:00,19
2019-07-11 16:35:00,1
