10,"SELECT objID, ra, dec, psfmag_u, psfmag_g, psfmag_r, psfmag_i, psfmag_z FROM photoObj WHERE (ra between (#) AND (#) OR ra BETWEEN (#) AND (#) OR ra BETWEEN (#) AND (#) ) AND dec BETWEEN (#) AND (#) AND psfmag_r BETWEEN # AND # AND (psfmag_g - psfmag_r) BETWEEN (#) AND (#) AND (psfmag_r - psfmag_i) BETWEEN (#) AND (#) AND clean = # AND (calibStatus_r & #) != #"
2019-07-11 08:11:00,1
2019-07-11 08:12:00,1
2019-07-11 08:15:00,1
2019-07-11 17:24:00,1
2019-07-11 20:52:00,1
2019-07-11 20:54:00,1
2019-07-11 20:55:00,1
2019-07-11 20:56:00,1
2019-07-11 20:57:00,1
2019-07-11 23:01:00,1
