70,select * from zooConfidence where objid=#
2019-07-11 01:45:00,1
2019-07-11 02:52:00,1
2019-07-11 02:53:00,3
2019-07-11 02:54:00,2
2019-07-11 02:55:00,4
2019-07-11 02:56:00,4
2019-07-11 02:57:00,7
2019-07-11 02:58:00,5
2019-07-11 02:59:00,5
2019-07-11 03:00:00,4
2019-07-11 03:52:00,1
2019-07-11 08:16:00,21
2019-07-11 08:49:00,1
2019-07-11 10:13:00,1
2019-07-11 10:30:00,1
2019-07-11 12:13:00,1
2019-07-11 12:45:00,1
2019-07-11 13:18:00,1
2019-07-11 16:31:00,1
2019-07-11 19:54:00,1
2019-07-11 20:02:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-11 23:03:00,1
