24,"SELECT up_id, dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) as SpecobjId   FROM #upload WHERE dbo.fGetNearestSpecObjIdEq(up_ra,up_dec,#) IS NOT NULL  EXEC spExecuteSQL &&&,&&&, @log=#, @filter=#"
2019-07-11 12:13:00,1
2019-07-11 12:17:00,1
2019-07-11 12:20:00,1
2019-07-11 12:23:00,1
2019-07-11 12:25:00,1
2019-07-11 12:27:00,1
2019-07-11 12:29:00,4
2019-07-11 12:30:00,1
2019-07-11 12:31:00,2
2019-07-11 12:32:00,1
2019-07-11 12:33:00,2
2019-07-11 12:34:00,2
2019-07-11 12:35:00,1
2019-07-11 12:36:00,1
2019-07-11 12:37:00,1
2019-07-11 12:38:00,1
2019-07-11 12:39:00,1
2019-07-11 12:56:00,1
