2654,"UPDATE FramePathProcessing                         SET processed = #, goodMeltScore = #, fastBottomScore = #, fastTopScore = #, processedPath = &&&, cropPath = &&&                         WHERE Path = &&&"
2019-07-11 13:29:00,15
2019-07-11 13:30:00,28
2019-07-11 13:31:00,29
2019-07-11 13:32:00,27
2019-07-11 13:33:00,30
2019-07-11 13:34:00,29
2019-07-11 13:35:00,28
2019-07-11 13:36:00,28
2019-07-11 13:37:00,28
2019-07-11 13:38:00,29
2019-07-11 13:39:00,28
2019-07-11 13:40:00,28
2019-07-11 13:41:00,29
2019-07-11 13:42:00,28
2019-07-11 13:43:00,29
2019-07-11 13:44:00,29
2019-07-11 13:45:00,28
2019-07-11 13:46:00,28
2019-07-11 13:47:00,26
2019-07-11 13:48:00,26
2019-07-11 13:49:00,29
2019-07-11 13:50:00,29
2019-07-11 13:51:00,28
2019-07-11 13:52:00,29
2019-07-11 13:53:00,29
2019-07-11 13:54:00,28
2019-07-11 13:55:00,28
2019-07-11 13:56:00,29
2019-07-11 13:57:00,29
2019-07-11 13:58:00,28
2019-07-11 13:59:00,29
2019-07-11 14:00:00,27
2019-07-11 14:01:00,28
2019-07-11 14:02:00,29
2019-07-11 14:03:00,29
2019-07-11 14:04:00,29
2019-07-11 14:05:00,28
2019-07-11 14:06:00,29
2019-07-11 14:07:00,29
2019-07-11 14:08:00,28
2019-07-11 14:09:00,30
2019-07-11 14:10:00,28
2019-07-11 14:11:00,29
2019-07-11 14:12:00,28
2019-07-11 14:13:00,28
2019-07-11 14:14:00,29
2019-07-11 14:15:00,28
2019-07-11 14:16:00,29
2019-07-11 14:17:00,29
2019-07-11 14:18:00,29
2019-07-11 14:19:00,29
2019-07-11 14:20:00,29
2019-07-11 14:21:00,29
2019-07-11 14:22:00,29
2019-07-11 14:23:00,29
2019-07-11 14:24:00,29
2019-07-11 14:25:00,29
2019-07-11 14:26:00,28
2019-07-11 14:27:00,29
2019-07-11 14:28:00,28
2019-07-11 14:29:00,30
2019-07-11 14:30:00,29
2019-07-11 14:31:00,28
2019-07-11 14:32:00,29
2019-07-11 14:33:00,27
2019-07-11 14:34:00,29
2019-07-11 14:35:00,29
2019-07-11 14:36:00,29
2019-07-11 14:37:00,30
2019-07-11 14:38:00,29
2019-07-11 14:39:00,29
2019-07-11 14:40:00,29
2019-07-11 14:41:00,29
2019-07-11 14:42:00,29
2019-07-11 14:43:00,29
2019-07-11 14:44:00,28
2019-07-11 14:45:00,28
2019-07-11 14:46:00,29
2019-07-11 14:47:00,29
2019-07-11 14:48:00,28
2019-07-11 14:49:00,29
2019-07-11 14:50:00,29
2019-07-11 14:51:00,29
2019-07-11 14:52:00,28
2019-07-11 14:53:00,28
2019-07-11 14:54:00,29
2019-07-11 14:55:00,28
2019-07-11 14:56:00,28
2019-07-11 14:57:00,29
2019-07-11 14:58:00,29
2019-07-11 14:59:00,29
2019-07-11 15:00:00,28
2019-07-11 15:01:00,29
2019-07-11 15:02:00,10
