26,select count(*) as thecount
2019-07-11 09:37:00,2
2019-07-11 09:38:00,1
2019-07-11 10:34:00,1
2019-07-11 11:02:00,1
2019-07-11 11:05:00,1
2019-07-11 11:06:00,1
2019-07-11 11:09:00,1
2019-07-11 13:43:00,2
2019-07-11 13:44:00,1
2019-07-11 14:17:00,1
2019-07-11 14:47:00,2
2019-07-11 14:48:00,1
2019-07-11 15:12:00,1
2019-07-11 15:36:00,1
2019-07-11 15:37:00,1
2019-07-11 15:50:00,2
2019-07-11 16:53:00,2
2019-07-11 17:36:00,1
2019-07-11 17:37:00,1
2019-07-11 17:46:00,1
2019-07-11 19:19:00,1
