10,"SELECT p.objid,p.ra,p.dec,p.psfmag_u,p.psfmag_g,p.psfmag_r,p.psfmag_i,p.psfmag_z,p.psfmagerr_u,p.psfmagerr_g,p.psfmagerr_r,p.psfmagerr_i,p.psfmagerr_z,p.aperflux7_u,p.aperflux7_g,p.aperflux7_r,p.aperflux7_i,p.aperflux7_z,p.aperflux7Ivar_u,p.aperflux7Ivar_g,p.aperflux7Ivar_r,p.aperflux7Ivar_i,p.aperflux7Ivar_z FROM Star AS p JOIN dbo.fGetNearbyObjEq(#,#,#) AS b ON b.objID = P.objID where p.psfmag_i<# AND ((flags_r & #) != #) AND ((flags_i & #) != #) AND ((flags_g & #) != #) AND ((flags_g & #) = #) AND ((flags_r & #) = #) AND ((flags_i & #) = #) AND ((flags_r & #) = #) AND (((flags_r & #) = #) or (flags_r & #) = #)"
2019-07-11 10:01:00,1
2019-07-11 10:25:00,1
2019-07-11 10:27:00,1
2019-07-11 10:28:00,1
2019-07-11 10:41:00,1
2019-07-11 13:31:00,1
2019-07-11 13:45:00,1
2019-07-11 13:49:00,1
2019-07-11 15:09:00,1
2019-07-11 16:26:00,1
