113,select * from zoo2Stripe8#Coadd1 where dr8objid=#
2019-07-11 01:46:00,1
2019-07-11 01:57:00,1
2019-07-11 07:32:00,2
2019-07-11 07:33:00,8
2019-07-11 07:34:00,9
2019-07-11 07:35:00,9
2019-07-11 07:36:00,11
2019-07-11 07:37:00,9
2019-07-11 07:38:00,9
2019-07-11 07:39:00,8
2019-07-11 07:40:00,1
2019-07-11 08:13:00,27
2019-07-11 08:14:00,5
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 13:19:00,1
2019-07-11 16:31:00,1
2019-07-11 19:54:00,5
2019-07-11 20:03:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-11 23:02:00,1
