167,select * from zoo2Stripe8#Coadd2 where dr8objid=#
2019-07-11 01:46:00,1
2019-07-11 07:40:00,6
2019-07-11 07:41:00,8
2019-07-11 07:42:00,8
2019-07-11 07:43:00,4
2019-07-11 07:45:00,5
2019-07-11 07:46:00,17
2019-07-11 07:47:00,11
2019-07-11 07:48:00,9
2019-07-11 07:49:00,12
2019-07-11 07:50:00,10
2019-07-11 07:51:00,11
2019-07-11 07:52:00,12
2019-07-11 07:53:00,11
2019-07-11 07:54:00,14
2019-07-11 07:55:00,12
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 13:19:00,1
2019-07-11 16:31:00,1
2019-07-11 19:54:00,7
2019-07-11 20:03:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-11 23:03:00,2
