13,"select yy, mm, dd, hh, mi, ss  logID, clientIP, op, command, error, browser,  isvisible, referer, bytesOut, bytesIn, elapsed  into weblogall2#_#_#h_to_#_#h  from weblogall  where yy = # and mm between # and # and dd between # and # and hh between # and #"
2019-07-11 09:38:00,1
2019-07-11 10:35:00,1
2019-07-11 11:09:00,1
2019-07-11 13:44:00,1
2019-07-11 14:18:00,1
2019-07-11 14:48:00,1
2019-07-11 15:12:00,1
2019-07-11 15:37:00,1
2019-07-11 15:50:00,1
2019-07-11 16:53:00,1
2019-07-11 17:37:00,1
2019-07-11 17:46:00,1
2019-07-11 19:20:00,1
