26946,"SELECT TOP # p.objid,  p.run, p.rerun, p.camcol, p.field, p.obj,  p.type, p.ra, p.dec, p.u,p.g,p.r,p.i,p.z,  p.Err_u, p.Err_g, p.Err_r,p.Err_i,p.Err_z  FROM fGetNearbyObjEq(#,#,#) n, PhotoPrimary p  WHERE n.objID=p.objID"
2019-07-11 00:00:00,2
2019-07-11 00:02:00,11
2019-07-11 00:03:00,31
2019-07-11 00:04:00,7
2019-07-11 00:05:00,9
2019-07-11 00:08:00,5
2019-07-11 00:09:00,12
2019-07-11 00:10:00,1
2019-07-11 00:12:00,11
2019-07-11 00:13:00,31
2019-07-11 00:14:00,7
2019-07-11 00:15:00,9
2019-07-11 00:18:00,5
2019-07-11 00:19:00,12
2019-07-11 00:20:00,1
2019-07-11 00:22:00,11
2019-07-11 00:23:00,31
2019-07-11 00:24:00,7
2019-07-11 00:25:00,9
2019-07-11 00:28:00,5
2019-07-11 00:29:00,12
2019-07-11 00:30:00,2
2019-07-11 00:32:00,11
2019-07-11 00:33:00,31
2019-07-11 00:34:00,7
2019-07-11 00:35:00,9
2019-07-11 00:38:00,4
2019-07-11 00:39:00,12
2019-07-11 00:40:00,2
2019-07-11 00:42:00,11
2019-07-11 00:43:00,31
2019-07-11 00:44:00,7
2019-07-11 00:45:00,9
2019-07-11 00:48:00,4
2019-07-11 00:49:00,12
2019-07-11 00:50:00,2
2019-07-11 00:52:00,11
2019-07-11 00:53:00,31
2019-07-11 00:54:00,7
2019-07-11 00:55:00,9
2019-07-11 00:58:00,4
2019-07-11 00:59:00,12
2019-07-11 01:00:00,2
2019-07-11 01:02:00,11
2019-07-11 01:03:00,31
2019-07-11 01:04:00,7
2019-07-11 01:05:00,9
2019-07-11 01:08:00,4
2019-07-11 01:09:00,12
2019-07-11 01:10:00,2
2019-07-11 01:12:00,11
2019-07-11 01:13:00,31
2019-07-11 01:14:00,7
2019-07-11 01:15:00,9
2019-07-11 01:18:00,4
2019-07-11 01:19:00,12
2019-07-11 01:20:00,2
2019-07-11 01:22:00,11
2019-07-11 01:23:00,31
2019-07-11 01:24:00,7
2019-07-11 01:25:00,9
2019-07-11 01:28:00,4
2019-07-11 01:29:00,12
2019-07-11 01:30:00,2
2019-07-11 01:32:00,11
2019-07-11 01:33:00,31
2019-07-11 01:34:00,7
2019-07-11 01:35:00,9
2019-07-11 01:38:00,4
2019-07-11 01:39:00,12
2019-07-11 01:40:00,2
2019-07-11 01:42:00,11
2019-07-11 01:43:00,31
2019-07-11 01:44:00,7
2019-07-11 01:45:00,9
2019-07-11 01:48:00,4
2019-07-11 01:49:00,12
2019-07-11 01:50:00,2
2019-07-11 01:52:00,11
2019-07-11 01:53:00,31
2019-07-11 01:54:00,7
2019-07-11 01:55:00,9
2019-07-11 01:58:00,4
2019-07-11 01:59:00,12
2019-07-11 02:00:00,2
2019-07-11 02:02:00,11
2019-07-11 02:03:00,31
2019-07-11 02:04:00,7
2019-07-11 02:05:00,9
2019-07-11 02:08:00,4
2019-07-11 02:09:00,12
2019-07-11 02:10:00,2
2019-07-11 02:12:00,11
2019-07-11 02:13:00,31
2019-07-11 02:14:00,7
2019-07-11 02:15:00,9
2019-07-11 02:18:00,4
2019-07-11 02:19:00,12
2019-07-11 02:20:00,2
2019-07-11 02:22:00,11
2019-07-11 02:23:00,31
2019-07-11 02:24:00,7
2019-07-11 02:25:00,9
2019-07-11 02:28:00,4
2019-07-11 02:29:00,12
2019-07-11 02:30:00,2
2019-07-11 02:32:00,11
2019-07-11 02:33:00,31
2019-07-11 02:34:00,7
2019-07-11 02:35:00,9
2019-07-11 02:38:00,4
2019-07-11 02:39:00,12
2019-07-11 02:40:00,2
2019-07-11 02:42:00,8
2019-07-11 02:43:00,34
2019-07-11 02:44:00,7
2019-07-11 02:45:00,9
2019-07-11 02:48:00,4
2019-07-11 02:49:00,12
2019-07-11 02:50:00,2
2019-07-11 02:52:00,9
2019-07-11 02:53:00,33
2019-07-11 02:54:00,7
2019-07-11 02:55:00,9
2019-07-11 02:58:00,4
2019-07-11 02:59:00,12
2019-07-11 03:00:00,2
2019-07-11 03:02:00,9
2019-07-11 03:03:00,33
2019-07-11 03:04:00,7
2019-07-11 03:05:00,9
2019-07-11 03:08:00,4
2019-07-11 03:09:00,12
2019-07-11 03:10:00,2
2019-07-11 03:12:00,9
2019-07-11 03:13:00,33
2019-07-11 03:14:00,7
2019-07-11 03:15:00,9
