27,"select name, type, description from DBObjects where  type in (&&&,&&&) and access=&&& and UPPER(name) like &&&"
2019-07-11 02:03:00,3
2019-07-11 02:04:00,3
2019-07-11 02:05:00,2
2019-07-11 02:06:00,2
2019-07-11 02:07:00,2
2019-07-11 03:16:00,1
2019-07-11 07:45:00,1
2019-07-11 14:30:00,1
2019-07-11 14:44:00,1
2019-07-11 15:08:00,1
2019-07-11 15:12:00,1
2019-07-11 15:41:00,1
2019-07-11 15:50:00,1
2019-07-11 16:22:00,1
2019-07-11 16:47:00,1
2019-07-11 16:55:00,1
2019-07-11 17:05:00,1
2019-07-11 20:41:00,1
2019-07-11 20:42:00,1
2019-07-11 20:45:00,1
