176,select * from zoo2Stripe8#Normal where dr8objid=#
2019-07-11 01:46:00,1
2019-07-11 01:57:00,1
2019-07-11 02:00:00,2
2019-07-11 02:01:00,3
2019-07-11 02:02:00,1
2019-07-11 02:03:00,3
2019-07-11 02:04:00,3
2019-07-11 02:05:00,2
2019-07-11 02:11:00,3
2019-07-11 02:12:00,2
2019-07-11 02:13:00,1
2019-07-11 02:15:00,3
2019-07-11 02:18:00,1
2019-07-11 02:19:00,2
2019-07-11 02:20:00,3
2019-07-11 02:21:00,4
2019-07-11 02:22:00,4
2019-07-11 02:23:00,2
2019-07-11 02:24:00,2
2019-07-11 02:25:00,4
2019-07-11 02:26:00,1
2019-07-11 02:27:00,2
2019-07-11 02:28:00,2
2019-07-11 02:29:00,3
2019-07-11 02:30:00,1
2019-07-11 02:32:00,1
2019-07-11 02:33:00,1
2019-07-11 02:37:00,3
2019-07-11 02:38:00,1
2019-07-11 02:46:00,2
2019-07-11 02:47:00,4
2019-07-11 02:48:00,5
2019-07-11 02:49:00,7
2019-07-11 02:50:00,5
2019-07-11 02:51:00,3
2019-07-11 02:52:00,5
2019-07-11 08:14:00,32
2019-07-11 08:15:00,35
2019-07-11 08:16:00,7
2019-07-11 08:49:00,1
2019-07-11 12:13:00,1
2019-07-11 12:47:00,1
2019-07-11 13:19:00,1
2019-07-11 16:31:00,1
2019-07-11 20:03:00,1
2019-07-11 20:50:00,1
2019-07-11 22:16:00,1
2019-07-11 23:03:00,1
