725,"SELECT p.objid, p.ra, p.dec,p.dered_u,p.dered_g,p.dered_r,p.dered_i,p.dered_z,p.clean,p.flags                 , z.z as photoz,z.zErr as photozErr, s.z_noqso as specz,s.zErr_noqso as speczErr                 , dbo.fPhotoFlagsN(p.flags) as note                 FROM GALAXY as p                 LEFT OUTER JOIN photoz as z ON z.objID = p.objID                 LEFT OUTER JOIN specObjAll as s ON s.bestObjID = p.objID                 , dbo.fGetNearbyObjEq(#,#,#) as near                 WHERE p.objID = near.objID AND                  ((flags & #)!=#) AND ((flags & #)=#) AND                  ((flags & #)=#) AND ((flags & #)!=#)"
2019-06-07 02:46:00,3
2019-06-07 02:47:00,5
2019-06-07 02:48:00,6
2019-06-07 02:49:00,4
2019-06-07 02:50:00,5
2019-06-07 02:51:00,5
2019-06-07 02:52:00,3
2019-06-07 02:53:00,3
2019-06-07 02:54:00,2
2019-06-07 02:55:00,6
2019-06-07 02:56:00,6
2019-06-07 02:57:00,4
2019-06-07 02:58:00,8
2019-06-07 02:59:00,8
2019-06-07 03:00:00,8
2019-06-07 03:01:00,11
2019-06-07 03:02:00,10
2019-06-07 03:03:00,10
2019-06-07 03:04:00,5
2019-06-07 03:05:00,3
2019-06-07 03:06:00,4
2019-06-07 03:07:00,7
2019-06-07 03:08:00,6
2019-06-07 03:09:00,6
2019-06-07 03:10:00,6
2019-06-07 03:11:00,5
2019-06-07 03:12:00,5
2019-06-07 03:13:00,5
2019-06-07 03:14:00,3
2019-06-07 03:15:00,5
2019-06-07 03:16:00,4
2019-06-07 03:17:00,4
2019-06-07 03:18:00,1
2019-06-07 03:19:00,1
2019-06-07 03:20:00,11
2019-06-07 03:21:00,5
2019-06-07 03:22:00,5
2019-06-07 03:23:00,8
2019-06-07 03:24:00,9
2019-06-07 03:25:00,7
2019-06-07 03:26:00,7
2019-06-07 03:27:00,7
2019-06-07 03:28:00,3
2019-06-07 03:29:00,4
2019-06-07 03:30:00,1
2019-06-07 03:31:00,1
2019-06-07 03:32:00,2
2019-06-07 03:33:00,3
2019-06-07 03:34:00,3
2019-06-07 03:35:00,3
2019-06-07 03:36:00,6
2019-06-07 03:37:00,3
2019-06-07 03:38:00,4
2019-06-07 03:39:00,2
2019-06-07 03:40:00,5
2019-06-07 03:41:00,3
2019-06-07 03:42:00,7
2019-06-07 03:43:00,1
2019-06-07 03:45:00,7
2019-06-07 03:46:00,7
2019-06-07 03:47:00,7
2019-06-07 03:48:00,7
2019-06-07 03:49:00,3
2019-06-07 03:50:00,7
2019-06-07 03:51:00,6
2019-06-07 03:52:00,6
2019-06-07 03:53:00,1
2019-06-07 04:10:00,5
2019-06-07 04:11:00,7
2019-06-07 04:12:00,6
2019-06-07 04:13:00,5
2019-06-07 04:14:00,5
2019-06-07 04:15:00,4
2019-06-07 04:16:00,6
2019-06-07 04:17:00,6
2019-06-07 04:18:00,6
2019-06-07 04:19:00,9
2019-06-07 04:20:00,8
2019-06-07 04:21:00,10
2019-06-07 04:22:00,11
2019-06-07 04:23:00,11
2019-06-07 04:24:00,9
2019-06-07 04:25:00,4
2019-06-07 04:26:00,7
2019-06-07 04:27:00,8
2019-06-07 04:28:00,6
2019-06-07 04:29:00,6
2019-06-07 04:30:00,7
2019-06-07 04:31:00,6
2019-06-07 04:32:00,5
2019-06-07 04:33:00,7
2019-06-07 04:34:00,6
2019-06-07 04:35:00,2
2019-06-07 04:36:00,2
2019-06-07 04:37:00,2
2019-06-07 04:38:00,11
2019-06-07 04:39:00,3
2019-06-07 04:40:00,8
2019-06-07 04:41:00,7
2019-06-07 04:42:00,7
2019-06-07 04:43:00,7
2019-06-07 04:44:00,6
2019-06-07 04:45:00,7
2019-06-07 04:46:00,5
2019-06-07 04:47:00,3
2019-06-07 04:48:00,2
2019-06-07 04:49:00,3
2019-06-07 04:50:00,4
2019-06-07 04:51:00,3
2019-06-07 04:52:00,5
2019-06-07 04:53:00,5
2019-06-07 04:54:00,4
2019-06-07 04:55:00,4
2019-06-07 04:56:00,4
2019-06-07 04:57:00,5
2019-06-07 04:58:00,3
2019-06-07 04:59:00,4
2019-06-07 05:00:00,9
2019-06-07 05:01:00,10
2019-06-07 05:02:00,9
2019-06-07 05:03:00,7
2019-06-07 05:04:00,8
2019-06-07 05:05:00,8
2019-06-07 05:06:00,7
2019-06-07 05:07:00,7
2019-06-07 05:08:00,7
2019-06-07 05:09:00,7
2019-06-07 05:10:00,3
2019-06-07 05:11:00,4
2019-06-07 05:12:00,6
2019-06-07 05:13:00,3
2019-06-07 05:14:00,6
