53,"SELECT objID,ra,dec,u,g,r,i,z,err_u,err_g,err_r,err_i,err_z FROM PhotoObj WHERE ra BETWEEN # AND # AND dec BETWEEN # AND #"
2019-06-07 20:55:00,1
2019-06-07 20:57:00,1
2019-06-07 20:58:00,1
2019-06-07 21:00:00,1
2019-06-07 21:01:00,1
2019-06-07 21:03:00,1
2019-06-07 21:04:00,1
2019-06-07 21:11:00,1
2019-06-07 21:15:00,1
2019-06-07 21:18:00,1
2019-06-07 21:19:00,1
2019-06-07 21:20:00,1
2019-06-07 21:21:00,1
2019-06-07 21:22:00,2
2019-06-07 21:23:00,1
2019-06-07 21:25:00,1
2019-06-07 21:26:00,1
2019-06-07 21:27:00,2
2019-06-07 21:29:00,1
2019-06-07 21:40:00,1
2019-06-07 21:46:00,1
2019-06-07 21:47:00,2
2019-06-07 21:48:00,1
2019-06-07 21:49:00,1
2019-06-07 21:55:00,2
2019-06-07 22:03:00,1
2019-06-07 22:04:00,1
2019-06-07 22:06:00,4
2019-06-07 22:07:00,3
2019-06-07 22:08:00,3
2019-06-07 22:09:00,1
2019-06-07 22:10:00,3
2019-06-07 22:18:00,1
2019-06-07 22:30:00,1
2019-06-07 22:52:00,1
2019-06-07 22:53:00,3
2019-06-07 22:59:00,1
2019-06-07 23:04:00,1
