156,select * from SpecObjAll where specObjId=#
2019-06-07 00:01:00,1
2019-06-07 00:04:00,5
2019-06-07 00:05:00,3
2019-06-07 02:03:00,1
2019-06-07 04:06:00,1
2019-06-07 06:06:00,1
2019-06-07 09:00:00,5
2019-06-07 09:01:00,14
2019-06-07 09:52:00,5
2019-06-07 11:22:00,1
2019-06-07 11:33:00,1
2019-06-07 13:28:00,1
2019-06-07 13:36:00,1
2019-06-07 13:48:00,1
2019-06-07 13:49:00,2
2019-06-07 14:02:00,9
2019-06-07 14:03:00,12
2019-06-07 14:22:00,1
2019-06-07 15:18:00,27
2019-06-07 15:19:00,30
2019-06-07 15:27:00,13
2019-06-07 16:04:00,1
2019-06-07 17:50:00,1
2019-06-07 23:01:00,9
2019-06-07 23:02:00,10
