187,select * from galSpecIndx where specObjId=#
2019-06-07 05:10:00,1
2019-06-07 09:52:00,10
2019-06-07 10:26:00,1
2019-06-07 12:43:00,1
2019-06-07 13:28:00,1
2019-06-07 14:03:00,1
2019-06-07 14:34:00,5
2019-06-07 14:35:00,9
2019-06-07 14:36:00,8
2019-06-07 14:37:00,7
2019-06-07 14:38:00,6
2019-06-07 14:39:00,5
2019-06-07 14:40:00,6
2019-06-07 15:00:00,1
2019-06-07 15:27:00,6
2019-06-07 17:13:00,1
2019-06-07 22:56:00,17
2019-06-07 22:57:00,36
2019-06-07 22:58:00,36
2019-06-07 22:59:00,21
2019-06-07 23:02:00,7
2019-06-07 23:26:00,1
