69076,"SELECT d.*, s.class, s.subclass FROM dbo.fGetNearestSpecObjAllEq(#,#,#) as d, SpecObjAll as s WHERE d.specObjID = s.specObjID"
2019-06-07 16:16:00,1387
2019-06-07 16:17:00,1766
2019-06-07 16:18:00,1635
2019-06-07 16:19:00,1676
2019-06-07 16:20:00,1714
2019-06-07 16:21:00,1898
2019-06-07 16:22:00,1696
2019-06-07 16:23:00,1892
2019-06-07 16:24:00,1924
2019-06-07 16:25:00,2007
2019-06-07 16:26:00,1875
2019-06-07 16:27:00,1930
2019-06-07 16:28:00,1941
2019-06-07 16:29:00,2020
2019-06-07 16:30:00,2147
2019-06-07 16:31:00,1851
2019-06-07 16:32:00,1942
2019-06-07 16:33:00,2063
2019-06-07 16:34:00,2240
2019-06-07 16:35:00,2057
2019-06-07 16:36:00,1947
2019-06-07 16:37:00,2117
2019-06-07 16:38:00,1945
2019-06-07 16:39:00,2091
2019-06-07 16:40:00,1993
2019-06-07 16:41:00,2008
2019-06-07 16:42:00,1927
2019-06-07 16:43:00,2141
2019-06-07 16:44:00,1976
2019-06-07 16:45:00,1967
2019-06-07 16:46:00,2062
2019-06-07 16:47:00,1909
2019-06-07 16:48:00,1896
2019-06-07 16:49:00,2002
2019-06-07 16:50:00,1981
2019-06-07 16:51:00,1453
